$$$Vapor-Liquid Equilibrium Data Set 15816
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C4H8O2	88.106	141-78-6	Ethyl acetate
3	C2H6O	46.069	64-17-5	Ethanol
4	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
339.25	0.19900	0.32000	0.19200	0.34300	0.29100	0.16600
339.45	0.19900	0.32000	0.38400	0.34900	0.26700	0.29300
340.05	0.19900	0.64200	0.03200	0.34600	0.39600	0.04700
339.95	0.19900	0.64300	0.09600	0.35100	0.37400	0.14900
339.35	0.20000	0.16000	0.12700	0.41500	0.27300	0.11700
339.95	0.20000	0.16000	0.25600	0.37300	0.22800	0.21200
339.45	0.20000	0.32000	0.09600	0.38300	0.33800	0.08800
340.85	0.20000	0.32100	0.28800	0.34700	0.27100	0.22700
339.85	0.20000	0.42400	0.25600	0.36700	0.37100	0.16400
339.45	0.20000	0.48200	0.06300	0.35800	0.34300	0.06900
340.25	0.20000	0.64400	0.06200	0.36400	0.42200	0.07800
340.55	0.20100	0.16000	0.38400	0.36000	0.19800	0.29000
339.25	0.20100	0.48200	0.19000	0.34100	0.33200	0.18900
339.55	0.20100	0.48400	0.12600	0.34500	0.36500	0.12100
340.45	0.20100	0.64700	0.12600	0.34800	0.37200	0.15700
339.85	0.30000	0.16000	0.51300	0.34200	0.19100	0.36500
337.15	0.38800	0.46500	0.09000	0.48700	0.29100	0.10500
335.85	0.39800	0.11900	0.38300	0.51400	0.12200	0.28100
336.55	0.39800	0.47800	0.07200	0.49800	0.30600	0.08300
335.95	0.40000	0.12000	0.09600	0.59500	0.18900	0.07500
336.05	0.40000	0.12000	0.19200	0.50100	0.124000.12400
336.15	0.40000	0.12000	0.28900	0.57200	0.11900	0.20700
336.15	0.40000	0.24000	0.14400	0.52700	0.20000	0.13200
336.45	0.40000	0.36100	0.14400	0.49000	0.25500	0.14000
333.95	0.40100	0.24000	0.07200	0.55800	0.22100	0.06200
336.35	0.40100	0.24200	0.21500	0.58500	0.08200	0.20900
336.35	0.40100	0.36200	0.09800	0.50900	0.25300	0.09700
337.35	0.40100	0.48000	0.02400	0.48600	0.33400	0.03400
336.85	0.40100	0.48200	0.04700	0.52700	0.31400	0.05800
336.15	0.40700	0.23800	0.28600	0.47700	0.20100	0.23300
336.25	0.40900	0.34700	0.04800	0.54900	0.26600	0.04700
333.15	0.59800	0.15900	0.19200	0.65000	0.11800	0.17000
333.75	0.60000	0.23900	0.06300	0.65600	0.16900	0.06500
333.75	0.60000	0.31900	0.04700	0.67900	0.21100	0.05100
333.05	0.60100	0.08000	0.12800	0.70500	0.08500	0.10900
333.45	0.60200	0.16000	0.04800	0.66600	0.14500	0.05300
333.55	0.60200	0.16100	0.09600	0.70500	0.12200	0.07900
333.85	0.60200	0.24000	0.09500	0.65000	0.18200	0.09800
334.15	0.60200	0.32100	0.03100	0.64300	0.25000	0.04000
332.85	0.60300	0.07900	0.06300	0.77700	0.02700	0.06700
333.15	0.60300	0.07900	0.19200	0.67000	0.16500	0.06400
333.55	0.60300	0.16000	0.14400	0.67200	0.12700	0.11900
332.95	0.60400	0.07900	0.25600	0.65600	0.06600	0.19700
333.95	0.60400	0.24100	0.12600	0.64000	0.16900	0.14500
333.95	0.60400	0.32100	0.01300	0.67800	0.20600	0.02300
333.55	0.60500	0.24100	0.03000	0.68800	0.18700	0.03300
334.35	0.60500	0.32200	0.06100	0.66900	0.19300	0.08400
331.75	0.77000	0.14300	0.05500	0.72100	0.11000	0.07000
330.95	0.79600	0.08000	0.09500	0.78900	0.06500	0.09000
331.65	0.79700	0.11900	0.06300	0.81700	0.07700	0.06800
330.75	0.79900	0.03900	0.12800	0.81800	0.02400	0.11400
331.55	0.80000	0.16000	0.01600	0.81800	0.11000	0.02700
330.95	0.80100	0.04000	0.09600	0.71100	0.01800	0.17700
331.65	0.80100	0.16000	0.00800	0.82600	0.10100	0.01400
331.05	0.80200	0.03900	0.06400	0.82700	0.03100	0.06300
331.05	0.80200	0.04000	0.03100	0.85100	0.02100	0.02500
331.35	0.80200	0.12000	0.01500	0.83000	0.08400	0.01900
330.95	0.80300	0.07900	0.02300	0.84900	0.05600	0.00600
331.15	0.80300	0.07900	0.07100	0.81600	0.06200	0.06600
331.15	0.80300	0.16100	0.02400	0.69500	0.08800	0.18400
331.05	0.80600	0.07900	0.04500	0.81700	0.06400	0.05700
331.35	0.80800	0.12000	0.03000	0.84500	0.06200	0.03400
331.55	0.81800	0.14200	0.03000	0.83800	0.09200	0.04000
Source
Rogova N.B.; Garber Y.N.; Ushakova M.V.; Leonteva S.Yu.: Untersuchung des Dampf-Flüssig-Gleichgewichtes im System Aceton-Ethylacetat-Ethanol-Wasser. Gidrodin.Yavl.Peren.Dvukh.Disp.Sist.  (1984) 73-76
Source
