$$$Vapor-Liquid Equilibrium Data Set 14897
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C6H14	86.177	110-54-3	Hexane
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	313.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]
46.088	0.08660	0.10120
52.940	0.15720	0.09340
57.497	0.24570	0.08360
59.810	0.32110	0.07520
61.760	0.42480	0.06370
54.777	0.16990	0.16880
58.603	0.25360	0.15170
63.563	0.50110	0.10140
64.293	0.58010	0.08540
64.763	0.66840	0.06740
47.832	0.08790	0.25220
55.238	0.16650	0.23050
61.660	0.33460	0.18400
63.251	0.41760	0.16100
49.380	0.09410	0.32490
60.176	0.25190	0.26830
62.614	0.33790	0.23740
65.112	0.50280	0.17830
65.905	0.60420	0.14190
66.108	0.75400	0.08820
48.487	0.08290	0.39530
56.130	0.15800	0.36290
60.804	0.25000	0.32330
64.799	0.42020	0.24990
57.310	0.16520	0.42090
64.032	0.33810	0.33370
66.467	0.49950	0.25240
67.424	0.66760	0.16760
66.280	0.83420	0.08360
51.236	0.09310	0.50810
57.617	0.16150	0.46980
62.044	0.24880	0.42090
66.033	0.41950	0.32530
52.890	0.09960	0.58130
67.894	0.50210	0.32140
68.481	0.58270	0.26940
68.377	0.75390	0.15890
68.364	0.75390	0.15890
53.176	0.09560	0.66370
58.722	0.15460	0.62030
66.227	0.33920	0.48490
67.604	0.41660	0.42810
54.181	0.09850	0.71930
60.806	0.17550	0.65790
64.997	0.26920	0.58310
69.110	0.49470	0.40100
69.672	0.58020	0.33500
69.870	0.66640	0.26620
55.907	0.10610	0.79330
60.368	0.15900	0.74640
65.184	0.25010	0.66560
67.562	0.33210	0.59280
69.233	0.43000	0.50590
Source
Goral M.; Oracz P.; Warycha S.: VI. The Ternary System Acetone-Hexane-Cyclohexane at 313.15 K. Fluid Phase Equilib. 81 (1992) 261-272
Source
