$$$Vapor-Liquid Equilibrium Data Set 12305
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C6H14	86.177	110-54-3	Hexane
3	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
326.35	0.78200	0.03500	0.77600	0.15300
324.85	0.69200	0.03500	0.69700	0.24900
326.65	0.88400	0.03600	0.83700	0.10500
326.05	0.84500	0.04300	0.79700	0.15200
324.75	0.73700	0.04700	0.70200	0.23600
325.35	0.76100	0.05000	0.72800	0.21100
326.15	0.90100	0.05600	0.81600	0.15300
322.85	0.75500	0.07100	0.65300	0.27400
322.95	0.71000	0.08200	0.62500	0.29700
324.55	0.79600	0.08300	0.70200	0.22600
323.95	0.84700	0.08600	0.70100	0.22300
322.75	0.71900	0.12000	0.58000	0.33600
323.45	0.81300	0.12100	0.67800	0.27100
323.95	0.85200	0.12100	0.70500	0.25600
322.95	0.76200	0.13000	0.63400	0.29000
323.15	0.80800	0.15100	0.64700	0.29900
322.55	0.75000	0.17600	0.62500	0.33100
322.35	0.71500	0.18100	0.57200	0.33800
322.25	0.76300	0.19900	0.63300	0.32600
321.95	0.70800	0.23300	0.58500	0.34600
321.75	0.66600	0.23900	0.55900	0.37800
321.75	0.68600	0.28600	0.59900	0.36000
321.85	0.64300	0.29100	0.55200	0.37200
321.95	0.65600	0.30300	0.57600	0.37900
321.45	0.61800	0.33600	0.57600	0.38600
321.85	0.59300	0.34600	0.53500	0.41200
321.65	0.58500	0.37300	0.53800	0.41900
Source
Srinivasan D.; Lakshman C.M.; Laddha G.S.: Isothermal Vapor-Liquid Equilibrium Data at Atmospheric Pressure for the Ternary System Acetone-n-Hexane-Water. Indian J.Technol. 13 (1975) 431-434
Source
