$$$Vapor-Liquid Equilibrium Data Set 1801	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C2H6O	46.069	64-17-5	Ethanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
349.65	0.01900	0.04600	0.06000	0.07000	
349.05	0.01900	0.10000	0.06300	0.14600	
347.95	0.02200	0.16000	0.07400	0.22200	
347.15	0.01800	0.22000	0.05200	0.31300	
346.15	0.01700	0.28100	0.05700	0.37000	
345.45	0.01700	0.33000	0.04800	0.43400	
344.45	0.02200	0.38000	0.05300	0.48900	
343.85	0.02000	0.42900	0.04800	0.55200	
342.95	0.02100	0.48500	0.05300	0.59100	
342.45	0.01900	0.53500	0.04500	0.64500	
342.15	0.01300	0.58300	0.03500	0.68000	
341.15	0.01700	0.64900	0.04500	0.73000	
340.45	0.01700	0.70300	0.04500	0.77000	
340.35	0.02000	0.69000	0.05700	0.75800	
339.15	0.01800	0.79600	0.04500	0.83700	
338.75	0.01100	0.85000	0.03400	0.88200	
338.15	0.01700	0.89600	0.04100	0.91100	
337.55	0.02000	0.93700	0.04000	0.93100	
347.95	0.04900	0.04500	0.15500	0.06900	
346.55	0.06200	0.10500	0.17000	0.15000	
345.55	0.06000	0.16800	0.15700	0.23300	
344.55	0.06000	0.24000	0.15200	0.31300	
343.65	0.06200	0.30300	0.15500	0.37500	
342.85	0.05800	0.37900	0.13900	0.45900	
343.15	0.04300	0.39300	0.11000	0.48000	
341.45	0.06400	0.47000	0.15200	0.53600	
340.85	0.06000	0.53100	0.14300	0.58500	
340.05	0.06100	0.58100	0.14100	0.63600	
339.35	0.05900	0.64200	0.13500	0.68200	
338.55	0.06200	0.69100	0.13300	0.71600	
338.15	0.05800	0.73600	0.13000	0.74900	
337.45	0.05900	0.79300	0.13300	0.78500	
336.95	0.06000	0.84000	0.13100	0.81500	
336.35	0.05800	0.89000	0.12600	0.84000	
344.55	0.11800	0.05100	0.28000	0.08300	
343.45	0.12300	0.12000	0.28600	0.16200	
343.05	0.11300	0.18800	0.25700	0.23600	
342.25	0.11400	0.25300	0.25100	0.30200	
341.05	0.12200	0.31700	0.26900	0.35600	
339.75	0.12700	0.40400	0.26000	0.44000	
339.55	0.12200	0.43500	0.25300	0.46700	
338.65	0.12500	0.49700	0.25000	0.51500	
338.25	0.11300	0.56200	0.23500	0.57200	
337.45	0.11800	0.61500	0.24000	0.61400	
336.85	0.11600	0.66700	0.23400	0.65200	
336.25	0.10700	0.73500	0.22100	0.69900	
335.75	0.10600	0.78700	0.21900	0.73400	
334.95	0.11500	0.83800	0.22000	0.76100	
341.95	0.18500	0.06300	0.38900	0.08600	
340.85	0.19200	0.12800	0.38600	0.16300	
340.15	0.19000	0.20100	0.37800	0.22900	
339.05	0.19900	0.26800	0.37300	0.29500	
338.35	0.19300	0.33700	0.36000	0.35300	
337.45	0.19200	0.40100	0.35700	0.39800	
336.85	0.18600	0.46500	0.34300	0.45700	
336.15	0.18200	0.53100	0.33500	0.50800	
335.45	0.18300	0.59000	0.33000	0.55600	
335.15	0.17100	0.65400	0.31500	0.59800	
334.35	0.17600	0.70900	0.31500	0.63000	
333.85	0.16200	0.78500	0.29500	0.67300	
339.45	0.26900	0.05400	0.48600	0.07500	
338.55	0.26500	0.14400	0.46400	0.17300	
337.55	0.26500	0.21700	0.45400	0.23600	
336.35	0.28300	0.27900	0.46100	0.29800	
335.65	0.27600	0.35000	0.44000	0.35000	
334.85	0.26800	0.42700	0.43700	0.39300	
334.15	0.26300	0.49400	0.41800	0.45700	
333.65	0.25500	0.56300	0.40800	0.50500	
332.95	0.25600	0.62700	0.40300	0.54300	
332.45	0.25300	0.68400	0.39200	0.58000	
336.45	0.37900	0.07400	0.56900	0.09300	
335.75	0.36800	0.15700	0.55200	0.18300	
334.85	0.36800	0.23700	0.53100	0.25500	
333.95	0.36400	0.30900	0.51700	0.30800	
333.35	0.35700	0.37500	0.51300	0.35000	
332.55	0.35700	0.44900	0.50100	0.40600	
331.85	0.35200	0.51800	0.48600	0.45700	
331.25	0.34700	0.58500	0.47500	0.49700	
334.35	0.49100	0.07400	0.65200	0.09500	
333.25	0.48800	0.16000	0.63000	0.19000	
332.45	0.47500	0.25300	0.60500	0.26000	
331.75	0.46900	0.33100	0.59100	0.31600	
