$$$Vapor-Liquid Equilibrium Data Set 15545	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
4	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
339.05	0.10000	0.10100	0.10000	0.30500	0.11900	0.37900	
339.65	0.11000	0.11000	0.68000	0.15600	0.19400	0.53800	
330.55	0.72600	0.10300	0.09100	0.78700	0.10000	0.06100	
337.85	0.17300	0.17300	0.15200	0.37000	0.19000	0.28300	
334.65	0.15800	0.57900	0.13900	0.25900	0.52600	0.16600	
331.75	0.57900	0.15700	0.13900	0.66700	0.14700	0.10300	
336.65	0.21300	0.21300	0.18800	0.38700	0.22500	0.24700	
335.95	0.22000	0.22000	0.38600	0.30600	0.24600	0.33000	
334.45	0.21400	0.42800	0.18800	0.34400	0.39600	0.18500	
332.85	0.42900	0.21300	0.18800	0.53400	0.19700	0.16100	
333.15	0.31900	0.31900	0.29000	0.38800	0.32700	0.22500	
339.05	0.11600	0.11600	0.30700	0.21300	0.15200	0.44400	
338.05	0.11000	0.36100	0.09600	0.27300	0.36300	0.23600	
334.95	0.34000	0.11300	0.09900	0.62500	0.09900	0.14800	
Source	
Timofeev V.S.; Ponomarev V.N.; Baikalova N.M.; Rudakovskaya T.S.: Entwicklung eines technologischen Trennprozesses von Aceton-Methanol-Ethylacetat-Wasser-Mischungen. Fiziko-chimiceskie osnovy rektifikacii  (1977) 180-193	
Source	
