$$$Vapor-Liquid Equilibrium Data Set 23537	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H3N	41.053	75-05-8	Acetonitrile	
2	H2O	18.015	7732-18-5	Water	
3	H2O	18.015	7732-18-5	Acetic acid butyl ester	
Pressure	101.32	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
354.72	1.00000	0.00000	1.00000	0.00000	
373.15	0.00000	1.00000	0.00000	1.00000	
399.00	0.00000	0.00000	0.00000	0.00000	
349.90	0.70430	0.27320	0.68090	0.30620	
349.98	0.61480	0.36100	0.64800	0.33590	
350.07	0.76520	0.21620	0.71280	0.27830	
350.15	0.53720	0.44420	0.62400	0.35710	
350.35	0.81330	0.17140	0.74710	0.24590	
350.39	0.44880	0.53950	0.60730	0.37070	
350.49	0.63250	0.28140	0.61810	0.33930	
350.51	0.57670	0.34540	0.59060	0.36300	
350.59	0.65700	0.25370	0.63020	0.32740	
350.67	0.69810	0.21980	0.65670	0.30520	
350.81	0.74610	0.18310	0.69460	0.27620	
350.89	0.87420	0.11880	0.79620	0.20040	
351.15	0.78460	0.14850	0.72620	0.24660	
351.74	0.90900	0.08020	0.83370	0.15990	
352.02	0.89250	0.08030	0.83290	0.15310	
352.26	0.84930	0.08940	0.79930	0.17550	
352.38	0.87170	0.07840	0.81560	0.16150	
352.76	0.85080	0.07710	0.80930	0.15960	
353.20	0.94880	0.05000	0.91050	0.08930	
353.36	0.94940	0.04710	0.92880	0.06950	
353.56	0.81160	0.07030	0.79550	0.15900	
353.60	0.94490	0.04310	0.91430	0.08160	
353.70	0.96280	0.03590	0.93550	0.06350	
353.82	0.95610	0.02670	0.93240	0.06080	
354.00	0.79080	0.06910	0.79030	0.15670	
354.02	0.92280	0.04300	0.90760	0.07760	
354.16	0.93790	0.02560	0.92300	0.06120	
354.32	0.98600	0.01140	0.97370	0.02500	
354.46	0.89910	0.04350	0.89840	0.07800	
354.50	0.92170	0.02430	0.91780	0.05960	
354.90	0.89220	0.02450	0.90530	0.06080	
355.36	0.86810	0.02630	0.89770	0.06060	
355.44	0.72200	0.06040	0.77030	0.15570	
355.81	0.65160	0.07070	0.71680	0.19400	
355.89	0.83770	0.03590	0.89140	0.05880	
356.51	0.81420	0.02310	0.88250	0.05780	
356.59	0.60140	0.07350	0.69370	0.20370	
357.07	0.78670	0.02380	0.87730	0.05400	
357.71	0.75980	0.02130	0.86410	0.06400	
358.36	0.71760	0.03240	0.86790	0.04740	
358.44	0.50960	0.06640	0.65150	0.21840	
359.06	0.70010	0.01600	0.86070	0.04490	
359.78	0.66900	0.01790	0.85010	0.04550	
360.17	0.43530	0.06310	0.61160	0.23400	
360.49	0.64040	0.01720	0.84240	0.04510	
361.34	0.61130	0.01390	0.83240	0.04230	
362.52	0.56640	0.01500	0.82100	0.03780	
362.74	0.50020	0.02260	0.74770	0.10510	
363.47	0.53530	0.01380	0.80900	0.03710	
364.28	0.46250	0.01690	0.73740	0.09570	
364.67	0.35090	0.03780	0.60110	0.19220	
365.00	0.40180	0.02970	0.67700	0.13180	
365.39	0.43560	0.01780	0.72880	0.07910	
366.02	0.38990	0.02190	0.67950	0.11840	
366.65	0.32460	0.03200	0.59920	0.17150	
368.33	0.30260	0.03080	0.59390	0.15530	
372.34	0.22130	0.03010	0.51480	0.16470	
372.63	0.24990	0.01540	0.57880	0.11280	
374.67	0.19720	0.01920	0.52150	0.14360	
383.40	0.12240	0.00870	0.41010	0.06410	
Source	
Acosta J.; Arce A.; Rodil E.; Soto A.: A Thermodynamic Study on Binary and Ternary Mixtures of Acetonitrile, Water and Butyl Acetate. Fluid Phase Equilib. 203 (2002) 83-98	
Source	
