$$$Vapor-Liquid Equilibrium Data Set 657
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C4H10O	74.123	71-36-3	1-Butanol
Temperature	298.15	K
P [kPa]	x1 [mol/mol]	y1 [mol/mol]
0.8533	0.000000.00000
6.879	0.20200	0.88700
8.986	0.35000	0.91900
10.386	0.50000	0.93000
11.439	0.68700	0.94100
11.906	0.80300	0.95500
12.586	1.000001.00000
Source
Allen B.B.; Lingo S.P.; Felsing W.A.: Total and Partial Pressures of Binary Solutions of the Butyl Alcohols in Benzene at 25°C. J.Phys.Chem. 43 (1939) 425-430
$$$Vapor-Liquid Equilibrium Data Set 658
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C4H10O	74.123	71-36-3	1-Butanol
Temperature	318.15	K
P [kPa]	x1 [mol/mol]	y1 [mol/mol]
15.204	0.17940	0.81070
19.844	0.29280	0.86890
22.837	0.39970	0.89460
25.014	0.50850	0.91150
26.309	0.59960	0.92210
27.422	0.69930	0.93160
28.371	0.80140	0.94210
29.184	0.90260	0.95680
29.503	0.94620	0.96770
Source
Brown I.; Smith F.: IX. The Systems n-Propanol + Benzene and n-Butanol + Benzene at 45 °C. Aust.J.Chem. 12 (1959) 407-412
$$$Vapor-Liquid Equilibrium Data Set 659
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C4H10O	74.123	71-36-3	1-Butanol
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
390.85	0.000000.00000
390.05	0.00400	0.02500
385.15	0.04000	0.21700
380.25	0.08500	0.38000
375.37	0.13400	0.51000
373.37	0.16100	0.56000
371.85	0.18000	0.59000
368.75	0.23400	0.66000
365.40	0.30800	0.72400
362.84	0.36900	0.77900
361.43	0.39700	0.78700
359.54	0.47500	0.81900
357.69	0.56000	0.84700
356.34	0.63100	0.86700
355.13	0.71400	0.88500
354.51	0.79000	0.90400
354.02	0.84800	0.92000
353.82	0.89700	0.94700
353.54	0.92800	0.95200
353.43	0.94200	0.96000
353.36	0.94800	0.96300
353.31	0.95400	0.96600
353.24	1.000001.00000
Source
Mann R.S.; Shemilt L.W.; Waldichuck M.: Vapor-Liquid Equilibria at Atmospheric Pressure. J.Chem.Eng.Data 8 (1963) 502-504
Source
Brown I.; Smith F.: IX. The Systems n-Propanol + Benzene and n-Butanol + Benzene at 45 °C. Aust.J.Chem. 12 (1959) 407-412
Allen B.B.; Lingo S.P.; Felsing W.A.: Total and Partial Pressures of Binary Solutions of the Butyl Alcohols in Benzene at 25°C. J.Phys.Chem. 43 (1939) 425-430
Mann R.S.; Shemilt L.W.; Waldichuck M.: Vapor-Liquid Equilibria at Atmospheric Pressure. J.Chem.Eng.Data 8 (1963) 502-504
