$$$Vapor-Liquid Equilibrium Data Set 10417	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H6	78.114	71-43-2	Acetic acid butyl ester	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
353.25	1.00000	0.00000	1.00000	0.00000	
399.25	0.00000	1.00000	0.00000	1.00000	
349.15	0.75000	0.20000	0.70800	0.02000	
349.95	0.54500	0.36500	0.59800	0.06100	
352.75	0.40000	0.47500	0.43700	0.08100	
358.15	0.20000	0.64000	0.28800	0.14400	
349.05	0.80000	0.12000	0.66600	0.01200	
347.75	0.60000	0.24000	0.58600	0.03200	
349.75	0.47300	0.31500	0.51100	0.05300	
354.95	0.25000	0.45000	0.37300	0.11300	
344.75	0.80000	0.07800	0.68500	0.00700	
346.05	0.60000	0.16000	0.60000	0.02700	
349.75	0.37000	0.25000	0.51000	0.05700	
354.25	0.20000	0.32000	0.39600	0.10800	
343.45	0.80000	0.03800	0.65600	0.00400	
344.25	0.60000	0.07500	0.66700	0.01400	
346.25	0.40000	0.11500	0.63300	0.02700	
349.75	0.22500	0.15000	0.52000	0.05900	
Source	
Anton N.D.; Zheleznova N.I.; Tikhonova N.K.; Timofeev V.S.; Serafimov L.A.: Untersuchung physikalisch-chemischer Eigenschaften im System Benzol-Butylacetat-Wasser. Tr.Mosk.Inst.Tonkoj Khim.Tekhnol. 3 (1973) 115-120	
Source	
