$$$Vapor-Liquid Equilibrium Data Set 2110	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C6H14	86.177	110-54-3	Hexane	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
353.25	1.00000	0.00000	1.00000	0.00000	
353.87	0.00000	1.00000	0.00000	1.00000	
341.85	0.00000	0.00000	0.00000	0.00000	
350.60	0.86100	0.06600	0.80600	0.06700	
349.20	0.80600	0.06700	0.73200	0.06800	
347.70	0.73200	0.06800	0.63700	0.07000	
346.30	0.63700	0.07000	0.54400	0.07100	
345.10	0.54400	0.07100	0.46100	0.06700	
344.20	0.46100	0.06700	0.40900	0.05200	
345.30	0.51200	0.11000	0.44300	0.09600	
344.40	0.44300	0.09600	0.39500	0.07900	
343.85	0.39500	0.07900	0.34200	0.06400	
343.40	0.34200	0.06400	0.30400	0.05300	
343.00	0.30400	0.05300	0.27900	0.03700	
342.70	0.27900	0.03700	0.25000	0.02500	
347.50	0.15700	0.50300	0.17600	0.41400	
346.45	0.17600	0.41400	0.18000	0.34700	
345.70	0.18000	0.34700	0.18300	0.26700	
344.95	0.18300	0.26700	0.18300	0.21400	
344.25	0.18300	0.21400	0.17600	0.17900	
343.75	0.17600	0.17900	0.17100	0.13800	
344.90	0.07800	0.28900	0.08100	0.23100	
344.20	0.08100	0.23100	0.07900	0.17300	
343.65	0.07900	0.17300	0.07700	0.12200	
343.30	0.07700	0.12200	0.07500	0.09700	
342.95	0.07500	0.09700	0.07300	0.07400	
342.65	0.07300	0.07400	0.07000	0.05900	
349.70	0.02400	0.70800	0.03000	0.63500	
348.65	0.03000	0.63500	0.03600	0.54000	
347.55	0.03600	0.54000	0.04100	0.45800	
346.40	0.04100	0.45800	0.04800	0.36300	
345.50	0.04800	0.36300	0.05500	0.29000	
344.75	0.05500	0.29000	0.05700	0.22700	
351.85	0.08100	0.84300	0.10900	0.78600	
351.15	0.10900	0.78600	0.12800	0.73000	
350.40	0.12800	0.73000	0.15200	0.65500	
349.50	0.15200	0.65500	0.16900	0.57900	
348.45	0.16900	0.57900	0.18200	0.50600	
347.45	0.18200	0.50600	0.19500	0.42000	
350.95	0.31500	0.64800	0.34500	0.60500	
350.50	0.34500	0.60500	0.37500	0.55400	
350.15	0.37500	0.55400	0.39700	0.51100	
349.60	0.39700	0.51100	0.41100	0.45700	
348.95	0.41100	0.47500	0.41300	0.41500	
348.30	0.41300	0.41500	0.40400	0.36500	
349.15	0.42500	0.45100	0.42300	0.40800	
348.50	0.42300	0.40800	0.41300	0.36400	
347.80	0.41300	0.36400	0.39800	0.31300	
346.95	0.39800	0.31300	0.38100	0.27000	
346.10	0.38100	0.27000	0.35600	0.21600	
345.30	0.35600	0.21600	0.33000	0.18000	
345.40	0.25400	0.27600	0.24800	0.22000	
344.70	0.24800	0.22000	0.23800	0.16300	
344.20	0.23800	0.16300	0.22700	0.13000	
343.70	0.22700	0.13000	0.21600	0.10000	
343.25	0.21600	0.10000	0.20000	0.07800	
342.90	0.20000	0.07800	0.19000	0.06000	
343.30	0.12000	0.12300	0.11800	0.09100	
343.00	0.11800	0.09100	0.11600	0.06400	
342.75	0.11600	0.06400	0.11400	0.04500	
342.60	0.11400	0.04500	0.11100	0.03600	
342.45	0.11100	0.03600	0.10300	0.02600	
342.30	0.10300	0.02600	0.09700	0.02300	
349.65	0.31000	0.57700	0.33600	0.50500	
349.00	0.33600	0.50500	0.34500	0.44000	
348.25	0.34500	0.44000	0.34400	0.38600	
347.45	0.34400	0.38600	0.33300	0.33400	
346.65	0.33300	0.33400	0.31800	0.27800	
345.80	0.31800	0.27800	0.29800	0.22400	
349.65	0.68500	0.23700	0.64200	0.23000	
348.80	0.64200	0.23000	0.59100	0.21900	
347.90	0.59100	0.21900	0.53900	0.20000	
346.85	0.53900	0.20000	0.48000	0.18000	
345.90	0.48000	0.18000	0.43100	0.15800	
345.10	0.43100	0.15800	0.38300	0.13000	
351.90	0.89800	0.08000	0.84900	0.11200	
351.35	0.84900	0.11200	0.81000	0.12800	
350.55	0.81000	0.12800	0.74900	0.13800	
349.35	0.74900	0.13800	0.68100	0.13500	
348.10	0.68100	0.13500	0.61000	0.12900	
346.85	0.61000	0.12900	0.53900	0.11500	
350.65	0.65200	0.33200	0.62900	0.33300	
350.30	0.62900	0.33300	0.60000	0.32900	
349.90	0.60000	0.32900	0.57300	0.32000	
349.30	0.57300	0.32000	0.54300	0.31000	
348.55	0.54300	0.31000	0.51100	0.28900	
347.75	0.51100	0.28900	0.47200	0.25800	
350.70	0.51600	0.47400	0.51800	0.46400	
350.60	0.51800	0.46400	0.51900	0.45200	
350.45	0.51900	0.45200	0.51600	0.43900	
350.15	0.51600	0.43900	0.51200	0.41900	
349.70	0.51200	0.41900	0.50500	0.39500	
349.20	0.50500	0.39500	0.49200	0.36600	
350.50	0.25000	0.67400	0.27700	0.61300	
349.85	0.27700	0.61300	0.29900	0.55100	
349.20	0.29900	0.55100	0.31500	0.48200	
348.30	0.31500	0.48200	0.32000	0.42000	
347.45	0.32000	0.42000	0.31600	0.35800	
346.65	0.31600	0.35800	0.30800	0.30100	
350.05	0.22500	0.65700	0.25300	0.58600	
349.30	0.25300	0.58600	0.27200	0.51400	
348.50	0.27200	0.51400	0.28400	0.44600	
347.60	0.28400	0.44600	0.28900	0.38000	
346.70	0.28900	0.38000	0.28400	0.31300	
345.80	0.28400	0.31300	0.27300	0.24600	
350.00	0.09300	0.71200	0.11200	0.63000	
349.00	0.11200	0.63000	0.12900	0.54500	
348.00	0.12900	0.54500	0.13900	0.46900	
347.00	0.13900	0.46900	0.15000	0.38000	
346.05	0.15000	0.38000	0.15300	0.30700	
345.15	0.15300	0.30700	0.15600	0.23200	
Source	
Ridgway K.; Butler P.A.: Some Physical Properties of the Ternary System Benzene-Cyclohexane-n-Hexane. J.Chem.Eng.Data 12 (1967) 509-515	
$$$Vapor-Liquid Equilibrium Data Set 2657	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H14	86.177	110-54-3	Hexane	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	343.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
72.821	0.00000	0.00000	0.00000	0.00000	
106.498	0.00000	1.00000	0.00000	1.00000	
83.620	0.12500	0.21880	0.15230	0.28600	
