$$$Vapor-Liquid Equilibrium Data Set 6118
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
329.25	0.64000	0.20000	0.77300	0.08800
331.65	0.48000	0.40000	0.73300	0.11800
335.45	0.32000	0.60000	0.65000	0.20000
342.75	0.16000	0.80000	0.44000	0.45000
329.35	0.48000	0.20000	0.76300	0.09000
331.35	0.36000	0.40000	0.72800	0.11200
336.65	0.24000	0.60000	0.62800	0.19100
343.95	0.12000	0.80000	0.40800	0.46100
329.65	0.32000	0.20000	0.75800	0.09300
332.05	0.24000	0.40000	0.70900	0.12100
338.35	0.16000	0.60000	0.57700	0.22400
345.65	0.08000	0.80000	0.32900	0.52500
329.85	0.16000	0.20000	0.74500	0.09700
334.35	0.12000	0.40000	0.66100	0.13600
342.45	0.08000	0.60000	0.45300	0.32200
348.25	0.04000	0.80000	0.19800	0.64700
Source
Khanina E.P.; Beregovykh V.V.; Pavlenko T.G.; Timofeev V.S.: The Liquid-Liquid-Vapor Equilibrium in the Chlroform-Ethanol-Water and Pentane-Acetone- Water Systems. I.. Viniti  (1977) 1-7
Source
