$$$Vapor-Liquid Equilibrium Data Set 24219	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	CH4O	32.042	67-56-1	Methanol	
3	C2H6O	46.069	64-17-5	Ethanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
333.10	0.20000	0.64000	0.36400	0.56300	
329.33	0.40000	0.48000	0.56700	0.38700	
328.19	0.60000	0.32000	0.66200	0.30500	
328.09	0.80000	0.16000	0.73880	0.23610	
335.23	0.20000	0.48000	0.37600	0.46600	
330.81	0.40000	0.36000	0.59200	0.30400	
329.34	0.60000	0.24000	0.68700	0.24500	
329.09	0.80000	0.12000	0.76820	0.18180	
337.59	0.20000	0.32000	0.38800	0.28500	
332.77	0.40000	0.24000	0.60500	0.21900	
330.44	0.60000	0.16000	0.70000	0.18500	
330.35	0.80000	0.08000	0.78050	0.12940	
340.06	0.20000	0.16000	0.42200	0.16300	
334.63	0.40000	0.12000	0.63250	0.11250	
332.26	0.60000	0.08000	0.73930	0.08520	
331.49	0.80000	0.04000	0.80140	0.06880	
Source	
Pavlova A.A.; Mitropolskaya V.A.; Nikolaev E.S.; Mozzhukhin A.S.: Vapor-liquid equilibrium in the chloroform-methanol-ethanol system. Osnovnoi Organ.Sintez.Neftekhim. 5 (1975) 107-109	
Source	
