$$$Vapor-Liquid Equilibrium Data Set 30088
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	H2O	18.015	7732-18-5	Water
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
334.35	1.000001.00000
334.15	0.99859	0.98200
332.15	0.99625	0.95100
330.15	0.99209	0.90000
329.15	0.98796	0.87100
328.95	0.95701	0.85500
328.95	0.00691	0.85500
329.15	0.00136	0.85400
329.65	0.00122	0.84200
330.15	0.00117	0.83800
335.15	0.00076	0.82000
336.15	0.00056	0.80500
342.15	0.00046	0.75400
344.15	0.00038	0.73600
348.15	0.00031	0.71000
349.15	0.00025	0.68800
351.15	0.00018	0.64700
355.15	0.00015	0.61900
357.15	0.00012	0.57700
363.15	0.00011	0.47200
366.15	0.00008	0.43900
367.15	0.00006	0.33800
370.15	0.00005	0.16500
371.15	0.00003	0.09500
372.15	0.00002	0.01200
373.15	0.000000.00000
Source
Hu H.-S.: Determination of vapour-liquid and vapour-liquid-liquid equilibrium of the chloroform-water and trichloroethylene-water binary mixtures. Fluid Phase Equilib. 289 (2010) 80-89
Source
Hu H.-S.: Determination of vapour-liquid and vapour-liquid-liquid equilibrium of the chloroform-water and trichloroethylene-water binary mixtures. Fluid Phase Equilib. 289 (2010) 80-89
