$$$Vapor-Liquid Equilibrium Data Set 30090
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	110-82-7	Cyclohexane
2	H2O	18.015	7732-18-5	Water
Temperature	545.37	K
P [kPa]	y1 [mol/mol]
9480.261	0.33522
Source
Guerrant R.P.: Hydrocarbon-Water Solubilities at High Temperatures under Vapor-Liquid-Liquid Equilibrium Conditions. Thesis  (1964)
$$$Vapor-Liquid Equilibrium Data Set 35330
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	110-82-7	Cyclohexane
2	H2O	18.015	7732-18-5	Water
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]
172.368	369.26	0.99303	0.69465
344.737	394.26	0.98614	0.75030
344.737	399.82	0.99534	0.93358
689.473	416.48	0.77030	0.61086
689.473	422.04	0.98158	0.62924
689.473	427.59	0.99072	0.67483
689.473	433.15	0.99767	0.79438
1034.210	433.15	0.95494	0.60973
1034.210	444.26	0.97481	0.66585
1034.210	455.37	0.99627	0.82304
1378.940	444.26	0.93991	0.58891
1378.940	455.37	0.96590	0.63992
1378.940	466.48	0.98614	0.77030
1723.685	455.37	0.93358	0.62690
1723.685	466.48	0.96149	0.73985
1723.685	477.59	0.97932	0.86064
2068.417	466.48	0.93568	0.65209
2068.417	477.59	0.96590	0.75030
2068.417	488.70	0.98614	0.85511
2413.162	477.59	0.94204	0.67483
2413.162	488.70	0.97034	0.76562
2413.162	499.82	0.98843	0.86436
2757.893	477.59	0.90291	0.60084
2757.893	494.26	0.92318	0.71532
2757.893	510.93	0.98386	0.86436
151.684	366.48	0.99767	0.80936
344.737	394.26	0.98614	0.75944
586.052	422.04	0.99303	0.73985
689.473	422.04	0.97932	0.63633
792.893	422.04	0.96369	0.60638
1034.210	449.82	0.98386	0.72099
1172.105	449.82	0.97257	0.65955
1309.999	449.82	0.95930	0.62924
1447.894	449.82	0.94417	0.60749
1585.790	449.82	0.93149	0.58891
1723.685	477.59	0.97932	0.87756
2068.417	477.59	0.96590	0.76407
2413.162	477.59	0.94204	0.67483
2757.893	477.59	0.90491	0.60749
Source
Burd S.D.; Braun W.G.: Vapor-Liquid Equilibrium of Some C6 Hydrocarbons with Water. Proc.Am.Petrol.Inst.Ref.Div. 48 (1968) 464-476
Source
Burd S.D.; Braun W.G.: Vapor-Liquid Equilibrium of Some C6 Hydrocarbons with Water. Proc.Am.Petrol.Inst.Ref.Div. 48 (1968) 464-476
Guerrant R.P.: Hydrocarbon-Water Solubilities at High Temperatures under Vapor-Liquid-Liquid Equilibrium Conditions. Thesis  (1964)
