$$$Vapor-Liquid Equilibrium Data Set 16843	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
42.570	0.12200	0.09300	0.22100	0.17200	
46.689	0.17400	0.19400	0.21900	0.30100	
43.263	0.33700	0.05900	0.33700	0.09400	
42.943	0.43000	0.05200	0.36400	0.08600	
42.770	0.49400	0.05200	0.38200	0.09000	
42.303	0.55500	0.05500	0.40500	0.09400	
44.690	0.41900	0.11000	0.34000	0.17200	
44.463	0.49600	0.11000	0.35900	0.18500	
44.063	0.55000	0.11000	0.38200	0.18900	
44.023	0.51000	0.15000	0.34600	0.25600	
45.476	0.56300	0.17400	0.35500	0.30500	
43.383	0.65000	0.14100	0.40400	0.27700	
42.343	0.70600	0.13100	0.42900	0.28400	
48.396	0.56100	0.26100	0.32600	0.44500	
48.423	0.57200	0.29200	0.33400	0.48800	
44.050	0.68600	0.23200	0.39600	0.46800	
48.196	0.61700	0.30200	0.34500	0.53800	
52.076	0.48600	0.38100	0.27800	0.57900	
54.476	0.40400	0.45700	0.24100	0.62000	
56.502	0.33200	0.52000	0.20500	0.65200	
54.222	0.25100	0.42700	0.19200	0.54800	
50.209	0.24600	0.30300	0.21600	0.42400	
54.915	0.18400	0.46800	0.14200	0.59200	
53.436	0.17100	0.42600	0.14400	0.55500	
Source	
Nagata I.; Tamura K.: Ternary Vapor-Liquid Equilibria of Ethanol + Acetone + Benzene at 318.15 K. J.Chem.Eng.Data 41 (1996) 870-872	
Source	
