$$$Vapor-Liquid Equilibrium Data Set 17556	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H6	78.114	71-43-2	Benzene	
4	C6H14	86.177	110-54-3	Hexane	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	
330.40	0.33200	0.26480	0.22130	
330.04	0.30290	0.35960	0.20230	
329.78	0.30000	0.51880	0.10880	
328.04	0.10240	0.71430	0.10520	
331.17	0.46550	0.37080	0.08920	
333.61	0.60340	0.23990	0.09180	
330.97	0.10490	0.50230	0.31170	
332.62	0.29470	0.34070	0.28750	
334.85	0.47970	0.18400	0.26820	
334.23	0.11490	0.32110	0.48450	
336.23	0.30680	0.14580	0.47760	
337.48	0.11310	0.14170	0.66190	
330.38	0.09990	0.33280	0.34030	
333.83	0.11090	0.14330	0.48980	
326.04	0.10060	0.53450	0.11210	
328.35	0.12590	0.15340	0.12310	
326.01	0.09830	0.38100	0.11090	
330.76	0.11290	0.15470	0.29630	
326.31	0.11340	0.31490	0.11310	
331.19	0.09650	0.14830	0.33000	
330.44	0.10180	0.24050	0.35000	
335.09	0.10820	0.08720	0.53380	
351.30	1.00000	0.00000	0.00000	
329.34	0.00000	1.00000	0.00000	
353.26	0.00000	0.00000	1.00000	
341.95	0.00000	0.00000	0.00000	
Source	
Li H.; Han S.: Vapor-Liquid Equilibria for the Quaternary System Ethanol + Acetone + Benzene + Hexane. J.Chem.Eng.Data 42 (1997) 655-657	
$$$Vapor-Liquid Equilibrium Data Set 17557	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H6	78.114	71-43-2	Benzene	
4	C6H14	86.177	110-54-3	Hexane	
Temperature	308.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	
43.830	0.33200	0.26480	0.22130	
44.710	0.30290	0.35960	0.20230	
44.990	0.30000	0.51880	0.10880	
48.900	0.10240	0.71430	0.10520	
42.650	0.46550	0.37080	0.08920	
38.260	0.60340	0.23990	0.09180	
43.530	0.10490	0.50230	0.31170	
40.319	0.29470	0.34070	0.28750	
36.190	0.47970	0.18400	0.26820	
38.410	0.11490	0.32110	0.48450	
34.131	0.30680	0.14580	0.47760	
33.580	0.11310	0.14170	0.66190	
44.600	0.09990	0.33280	0.34030	
39.079	0.11090	0.14330	0.48980	
52.580	0.10060	0.53450	0.11210	
47.549	0.12590	0.15340	0.12310	
52.480	0.09830	0.38100	0.11090	
43.660	0.11290	0.15470	0.29630	
51.800	0.11340	0.31490	0.11310	
43.040	0.09650	0.14830	0.33000	
44.240	0.10180	0.24050	0.35000	
36.940	0.10820	0.08720	0.53380	
Source	
Li H.; Han S.: Vapor-Liquid Equilibria for the Quaternary System Ethanol + Acetone + Benzene + Hexane. J.Chem.Eng.Data 42 (1997) 655-657	
$$$Vapor-Liquid Equilibrium Data Set 17558	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	C6H6	78.114	71-43-2	Benzene	
4	C6H14	86.177	110-54-3	Hexane	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	
64.851	0.33200	0.26480	0.22130	
65.920	0.30290	0.35960	0.20230	
66.631	0.30000	0.51880	0.10880	
71.539	0.10240	0.71430	0.10520	
63.109	0.46550	0.37080	0.08920	
57.210	0.60340	0.23990	0.09180	
64.109	0.10490	0.50230	0.31170	
59.840	0.29470	0.34070	0.28750	
54.400	0.47970	0.18400	0.26820	
56.950	0.11490	0.32110	0.48450	
51.600	0.30680	0.14580	0.47760	
50.271	0.11310	0.14170	0.66190	
65.631	0.09990	0.33280	0.34030	
57.681	0.11090	0.14330	0.48980	
76.680	0.10060	0.53450	0.11210	
70.050	0.12590	0.15340	0.12310	
76.590	0.09830	0.38100	0.11090	
64.389	0.11290	0.15470	0.29630	
75.690	0.11340	0.31490	0.11310	
63.509	0.09650	0.14830	0.33000	
65.240	0.10180	0.24050	0.35000	
54.979	0.10820	0.08720	0.53380	
Source	
Li H.; Han S.: Vapor-Liquid Equilibria for the Quaternary System Ethanol + Acetone + Benzene + Hexane. J.Chem.Eng.Data 42 (1997) 655-657	
Source	
