$$$Vapor-Liquid Equilibrium Data Set 693	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	283.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
6.266	0.00000	0.00000	
8.219	0.05000	0.24980	
8.493	0.10000	0.27790	
8.619	0.15000	0.29010	
8.666	0.20000	0.29390	
8.679	0.25000	0.29570	
8.679	0.30000	0.29640	
8.659	0.35000	0.29640	
8.633	0.40000	0.29720	
8.599	0.45000	0.29930	
8.553	0.50000	0.30170	
8.499	0.55000	0.30510	
8.439	0.60000	0.30890	
8.359	0.65000	0.31580	
8.239	0.70000	0.32610	
8.059	0.75000	0.33830	
7.813	0.80000	0.35320	
7.426	0.85000	0.38060	
6.753	0.90000	0.42940	
5.353	0.95000	0.56170	
3.1864	1.00000	1.00000	
Source	
Nagai J.; Ishii N.: Parts II - IV.. J.Soc.Chem.Ind.Jap. 38 (1935) 86-1624028	
$$$Vapor-Liquid Equilibrium Data Set 694	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	293.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
10.299	0.00000	0.00000	
13.932	0.05000	0.27760	
14.385	0.10000	0.30680	
14.572	0.15000	0.31940	
14.612	0.20000	0.32300	
14.625	0.25000	0.32370	
14.612	0.30000	0.32580	
14.599	0.35000	0.32610	
14.585	0.40000	0.32640	
14.559	0.45000	0.32690	
14.532	0.50000	0.32760	
14.492	0.55000	0.33120	
14.412	0.60000	0.33590	
14.292	0.65000	0.34240	
14.092	0.70000	0.35100	
13.786	0.75000	0.36750	
13.312	0.80000	0.38710	
12.566	0.85000	0.41960	
11.432	0.90000	0.47520	
9.459	0.95000	0.59830	
5.940	1.00000	1.00000	
Source	
Nagai J.; Ishii N.: Parts II - IV.. J.Soc.Chem.Ind.Jap. 38 (1935) 86-1624028	
$$$Vapor-Liquid Equilibrium Data Set 695	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	303.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
16.231	0.00000	0.00000	
22.625	0.05000	0.29230	
23.331	0.10000	0.31490	
23.585	0.15000	0.32230	
23.731	0.20000	0.32750	
23.811	0.25000	0.32980	
23.851	0.30000	0.33150	
23.878	0.35000	0.33390	
23.851	0.40000	0.33490	
23.811	0.45000	0.33820	
23.731	0.50000	0.34220	
23.598	0.55000	0.34860	
23.425	0.60000	0.35750	
23.198	0.65000	0.36730	
22.825	0.70000	0.37910	
22.385	0.75000	0.39490	
21.652	0.80000	0.41630	
20.465	0.85000	0.45150	
18.598	0.90000	0.51180	
15.585	0.95000	0.63300	
10.326	1.00000	1.00000	
Source	
Nagai J.; Ishii N.: Parts II - IV.. J.Soc.Chem.Ind.Jap. 38 (1935) 86-1624028	
Source	
Nagai J.; Ishii N.: Parts II - IV.. J.Soc.Chem.Ind.Jap. 38 (1935) 86-9	
