$$$Vapor-Liquid Equilibrium Data Set 23941	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C10H8	128.174	91-20-3	Naphthalene	
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]	
103.711	353.15	0.95720	0.99713	
104.151	353.15	0.96100	0.99754	
104.325	353.15	0.96310	0.99804	
104.418	353.15	0.96450	0.99766	
104.818	353.15	0.96740	0.99771	
70.901	343.15	0.99832	0.91800	
70.914	343.15	0.99820	0.91000	
70.794	343.15	0.97630	0.99836	
70.901	343.15	0.97700	0.99825	
70.901	343.15	0.97780	0.99816	
17.599	313.15	0.97830	0.99826	
17.545	313.15	0.97890	0.99802	
17.572	313.15	0.97930	0.99840	
17.452	313.15	0.97970	0.99839	
7.759	298.15	0.97070	0.99856	
7.746	298.15	0.97190	0.99848	
7.799	298.15	0.97280	0.99824	
7.786	298.15	0.97340	0.99831	
7.786	298.15	0.98860	0.99941	
7.786	298.15	0.98900	0.99932	
7.786	298.15	0.98950	0.99930	
7.786	298.15	0.98980	0.99901	
Source	
Pierotti G.J.; Deal C.H.; Derr E.L.: (Addendum included). Ind.Eng.Chem. 51 (1959) 95-102	
Source	
Pierotti G.J.; Deal C.H.; Derr E.L.: (Addendum included). Ind.Eng.Chem. 51 (1959) 95-102	
