$$$Vapor-Liquid Equilibrium Data Set 17444	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.15	K	
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
0.00134	0.04980	0.02320	0.11890	
0.00370	0.04970	0.05870	0.11270	
0.00951	0.04940	0.11990	0.10070	
0.02210	0.04880	0.17680	0.08860	
0.11900	0.04400	0.26620	0.06200	
0.00166	0.09950	0.01750	0.20280	
0.00486	0.09920	0.05120	0.20260	
0.01880	0.09790	0.14070	0.17600	
0.03990	0.09550	0.18030	0.15590	
0.20030	0.07970	0.26510	0.10590	
0.28410	0.07130	0.27940	0.09170	
0.37080	0.06290	0.29550	0.07820	
0.42210	0.05760	0.29910	0.07340	
0.53710	0.04630	0.33410	0.05900	
0.53900	0.04610	0.31800	0.05920	
0.61010	0.03900	0.33330	0.05170	
0.71210	0.02880	0.37680	0.04110	
0.76280	0.02380	0.38600	0.03630	
0.87290	0.01280	0.49250	0.02500	
0.92320	0.00770	0.58120	0.01840	
0.00098	0.19930	0.00590	0.35470	
0.00302	0.19890	0.01680	0.35020	
0.00874	0.19780	0.04490	0.33370	
0.01930	0.19580	0.08370	0.31190	
0.02220	0.19520	0.09570	0.30530	
0.03140	0.19350	0.11480	0.29310	
0.08010	0.18370	0.18270	0.25320	
0.18560	0.16270	0.23760	0.20800	
0.30860	0.13820	0.27030	0.17160	
0.44450	0.11110	0.29760	0.14120	
0.59400	0.08120	0.32590	0.10970	
0.76210	0.04760	0.38950	0.07630	
0.89950	0.02010	0.53660	0.04500	
0.03730	0.27310	0.09880	0.37560	
0.11610	0.25080	0.17610	0.31160	
0.20190	0.22650	0.21300	0.27250	
0.00208	0.34740	0.00590	0.49640	
0.00594	0.34610	0.01610	0.48810	
0.01590	0.34270	0.04070	0.47130	
0.02910	0.33820	0.06930	0.44670	
0.04170	0.33390	0.08800	0.42770	
0.04320	0.33320	0.09240	0.43060	
0.12720	0.30400	0.16820	0.36290	
0.24920	0.26160	0.21830	0.30600	
0.43430	0.19720	0.26890	0.24380	
0.50940	0.17170	0.28390	0.22230	
0.71860	0.09860	0.35860	0.15700	
0.90860	0.03210	0.56950	0.08070	
0.96320	0.01290	0.75020	0.04400	
0.00329	0.49800	0.00550	0.60810	
0.00811	0.49560	0.01380	0.60250	
0.01910	0.49020	0.03150	0.58560	
0.02590	0.48670	0.04120	0.56970	
0.03470	0.48240	0.05360	0.56420	
0.05910	0.47040	0.08180	0.53850	
0.07610	0.46170	0.09620	0.51830	
0.15260	0.42360	0.14620	0.46620	
0.26950	0.36520	0.19580	0.40920	
0.41430	0.29290	0.24200	0.35250	
0.50110	0.24950	0.26970	0.31910	
0.64750	0.17630	0.32340	0.26430	
0.70240	0.14880	0.34530	0.25310	
0.78370	0.10820	0.40060	0.21510	
0.93190	0.03420	0.65210	0.10050	
0.00267	0.64810	0.00320	0.71310	
0.01510	0.64020	0.01810	0.69830	
0.01710	0.63880	0.01930	0.69810	
0.03000	0.63050	0.03510	0.68170	
0.03240	0.62890	0.03820	0.67880	
0.07310	0.60250	0.07650	0.64100	
0.14870	0.55340	0.12780	0.58480	
0.31330	0.44640	0.20050	0.50240	
0.42430	0.37430	0.24140	0.45180	
0.63590	0.23680	0.32640	0.36330	
0.89460	0.06860	0.59360	0.18170	
0.00841	0.79320	0.00770	0.81440	
0.00906	0.79270	0.00850	0.81380	
0.02020	0.78380	0.01980	0.80210	
0.02430	0.78050	0.02280	0.79960	
0.04230	0.76620	0.04010	0.78130	
0.06280	0.74970	0.05650	0.76430	
0.09810	0.72150	0.08220	0.73760	
0.11760	0.70600	0.09460	0.72480	
0.21140	0.63090	0.14540	0.66950	
0.43160	0.45480	0.23710	0.56680	
0.56450	0.34850	0.29510	0.50680	
0.69680	0.24280	0.35400	0.44920	
0.80200	0.15860	0.45060	0.36700	
0.86620	0.10730	0.56830	0.27790	
0.00401	0.89640	0.00320	0.89920	
0.00746	0.89320	0.00600	0.89640	
0.01970	0.88230	0.01660	0.88570	
0.04230	0.86190	0.03510	0.86660	
0.10400	0.80640	0.07890	0.82270	
0.18050	0.73760	0.12420	0.77480	
0.32920	0.60380	0.19540	0.70020	
0.63120	0.33210	0.34750	0.54590	
Source	
Lepori L.; Matteoli E.: Excess Gibbs energies of the ternary system ethanol + tetrahydrofuran + cyclohexane at 298.15 K. Fluid Phase Equilib. 134 (1997) 113-131	
Source	
