$$$Vapor-Liquid Equilibrium Data Set 38568
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	H2O	18.015	7732-18-5	Water
3	C4H8O2S	120.172	126-33-0	Sulfolane
Pressure	99.97	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
356.48	0.66971	0.06396	0.93139	0.06861
356.48	0.60881	0.13722	0.87918	0.12082
356.48	0.55805	0.19829	0.81405	0.18595
357.04	0.51234	0.25328	0.76358	0.23642
357.04	0.47511	0.29807	0.73963	0.26037
357.59	0.44311	0.33656	0.75427	0.24573
364.81	0.41161	0.02368	0.96742	0.032584
364.81	0.39420	0.06093	0.92438	0.07562
364.26	0.37702	0.09769	0.88138	0.11863
364.26	0.35997	0.14490	0.84067	0.15933
363.70	0.32746	0.20414	0.76546	0.23454
363.70	0.30335	0.26134	0.71649	0.28351
363.70	0.26472	0.35029	0.65149	0.34851
363.70	0.21052	0.48319	0.57673	0.42327
Source
Lee F.-M.; Pahl R.H.: Dehydration of Alcohol with Extractive Distillation. US-Patent  (1985) 1-16
Source
