$$$Vapor-Liquid Equilibrium Data Set 12972	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
351.35	0.04710	0.84910	0.13400	0.86050	
350.05	0.09360	0.79750	0.23500	0.76290	
349.25	0.15010	0.74700	0.30780	0.68760	
348.65	0.17810	0.70930	0.35920	0.63770	
348.15	0.23600	0.65350	0.41520	0.58160	
347.75	0.28710	0.60070	0.45820	0.53920	
347.45	0.34960	0.54390	0.49710	0.50180	
347.15	0.39220	0.50060	0.53530	0.46350	
346.95	0.42080	0.47630	0.55270	0.44640	
346.85	0.49110	0.40310	0.59310	0.40340	
346.95	0.54990	0.33770	0.63250	0.36290	
347.05	0.59910	0.28770	0.66050	0.33700	
346.95	0.64950	0.24440	0.69020	0.30720	
348.05	0.68500	0.12560	0.74120	0.25350	
348.15	0.76190	0.02840	0.75700	0.23190	
350.15	0.86650	0.03330	0.85830	0.12860	
349.35	0.83510	0.06640	0.81510	0.18350	
354.15	0.04390	0.66200	0.19320	0.79760	
353.05	0.10250	0.57000	0.36400	0.62880	
352.25	0.13020	0.54170	0.40410	0.58920	
351.35	0.18620	0.49630	0.47280	0.52080	
350.35	0.24570	0.45150	0.52740	0.46690	
349.75	0.29760	0.40960	0.56130	0.42440	
349.35	0.34770	0.36050	0.60520	0.38160	
349.65	0.40270	0.30380	0.66770	0.32380	
349.55	0.44730	0.26090	0.70220	0.29040	
349.85	0.47060	0.21870	0.75410	0.23740	
350.65	0.51040	0.16850	0.79030	0.19720	
356.65	0.06520	0.42950	0.34120	0.64720	
354.35	0.11150	0.39700	0.39710	0.56970	
352.35	0.14060	0.36990	0.46890	0.49600	
352.25	0.18120	0.32350	0.57010	0.40740	
351.35	0.22810	0.28340	0.65980	0.32810	
351.35	0.25240	0.25830	0.67920	0.30620	
351.95	0.27750	0.21440	0.72110	0.26370	
351.95	0.33320	0.16760	0.78640	0.20180	
368.85	0.02410	0.15070	0.34250	0.63440	
362.65	0.03750	0.16810	0.49410	0.48480	
358.15	0.05820	0.19140	0.55820	0.42900	
356.15	0.09210	0.20770	0.61020	0.37150	
353.75	0.11350	0.19900	0.67810	0.30920	
354.75	0.13270	0.16750	0.72210	0.26820	
354.25	0.15010	0.15180	0.74860	0.23260	
353.35	0.17820	0.12600	0.80150	0.18130	
392.15	0.00190	0.07300	0.34780	0.59990	
375.35	0.00720	0.11900	0.48710	0.48080	
367.85	0.04450	0.08830	0.61020	0.36730	
360.85	0.05920	0.09070	0.71710	0.26080	
Source	
Thorat R.T.; Nageshwar G.D.: Ethyl Acetate-Ethanol-Ethylene Glycol. Indian Chem.Eng. 30 (1988) 60-62	
Source	
