$$$Vapor-Liquid Equilibrium Data Set 10966	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C2H6O	46.069	64-17-5	Acetic acid butyl ester	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
352.75	0.06500	0.73900	0.09600	0.83200	
351.65	0.13000	0.67100	0.17100	0.76500	
351.15	0.19900	0.59600	0.24200	0.69800	
350.55	0.27500	0.51300	0.31000	0.63100	
350.65	0.35500	0.42200	0.38200	0.56500	
350.05	0.43800	0.34200	0.45600	0.48900	
350.65	0.52800	0.25300	0.54300	0.40600	
351.45	0.61500	0.16700	0.64200	0.30600	
352.85	0.69900	0.08400	0.76800	0.17900	
354.85	0.05700	0.64500	0.07800	0.82400	
353.95	0.11500	0.58100	0.14500	0.76100	
353.45	0.17700	0.51300	0.21000	0.70000	
353.35	0.24300	0.44100	0.27700	0.63400	
353.45	0.38600	0.29000	0.42500	0.49300	
354.35	0.45800	0.21600	0.51000	0.40300	
355.35	0.53400	0.14100	0.61600	0.29900	
356.45	0.61000	0.07300	0.74100	0.17300	
356.75	0.05300	0.53900	0.07000	0.79500	
356.25	0.10500	0.48300	0.13200	0.73900	
355.85	0.15700	0.42800	0.19500	0.67900	
355.85	0.21700	0.36300	0.26100	0.61700	
355.95	0.27600	0.29800	0.33000	0.54600	
356.75	0.34000	0.23000	0.41800	0.48200	
358.95	0.46400	0.10800	0.59900	0.26700	
360.35	0.52400	0.05500	0.71900	0.14400	
361.05	0.08800	0.34500	0.12300	0.68000	
362.65	0.09400	0.28900	0.13800	0.64300	
361.05	0.12500	0.29000	0.17700	0.62500	
361.65	0.12700	0.29300	0.17800	0.62300	
362.05	0.17400	0.24300	0.24500	0.55300	
362.65	0.22300	0.19700	0.31800	0.47700	
363.15	0.27800	0.14100	0.41200	0.38400	
361.75	0.35800	0.11800	0.50400	0.31800	
363.15	0.38200	0.09200	0.55500	0.25800	
363.85	0.40600	0.06700	0.61000	0.20200	
365.95	0.45500	0.02300	0.73100	0.07300	
363.25	0.01200	0.38600	0.01800	0.75200	
363.85	0.02400	0.34400	0.03500	0.73200	
364.45	0.03700	0.31400	0.05400	0.70500	
364.85	0.05000	0.29200	0.07500	0.68000	
363.75	0.11000	0.27100	0.14900	0.63500	
364.35	0.14900	0.22900	0.20600	0.57300	
364.85	0.16800	0.20800	0.23700	0.54000	
365.35	0.18300	0.18000	0.26800	0.49800	
367.25	0.21400	0.13200	0.34600	0.39200	
366.35	0.22100	0.13900	0.34000	0.41400	
367.65	0.23400	0.11100	0.38000	0.35100	
367.85	0.25500	0.09100	0.43000	0.24800	
368.45	0.28000	0.07300	0.47800	0.24800	
368.75	0.30500	0.05500	0.53300	0.19100	
367.95	0.04300	0.22300	0.07400	0.64400	
368.35	0.05300	0.20700	0.09000	0.59600	
368.85	0.06400	0.19200	0.10900	0.57100	
369.25	0.07500	0.17400	0.13200	0.54000	
370.05	0.08900	0.15800	0.15800	0.50400	
370.45	0.13300	0.12000	0.24300	0.41600	
371.65	0.14800	0.10900	0.27300	0.37600	
371.25	0.14800	0.10500	0.27200	0.38700	
373.05	0.16100	0.08800	0.30500	0.34000	
372.95	0.17700	0.07500	0.34100	0.29800	
373.25	0.22500	0.04800	0.44400	0.19200	
373.85	0.23900	0.03400	0.48400	0.14500	
372.95	0.01200	0.16300	0.02200	0.59300	
373.35	0.02100	0.15400	0.03800	0.56800	
373.85	0.02900	0.14500	0.05500	0.54200	
374.85	0.03800	0.13400	0.07200	0.51600	
375.35	0.04600	0.12400	0.09000	0.48900	
375.35	0.05700	0.12200	0.10900	0.47800	
375.95	0.07700	0.10000	0.15300	0.42300	
376.75	0.08500	0.09800	0.17300	0.39100	
377.25	0.09300	0.08600	0.19300	0.35900	
378.55	0.11000	0.06700	0.23600	0.29800	
378.15	0.12200	0.06300	0.26500	0.26400	
379.15	0.13900	0.04500	0.31500	0.20500	
380.15	0.14200	0.03300	0.34100	0.15900	
380.75	0.15400	0.02400	0.37200	0.12300	
381.85	0.16600	0.01600	0.40800	0.08300	
Source	
Shono H.; Kanazawa N.; Hashitani M.; Komatsu H.; Hirata M.: Vapor-Liquid Equilibrium in Extractive Distillation of Ethyl Acetate-Ethanol System. Kogyo Kagaku Zasshi 72 (1969) 815-819	
Source	
