$$$Vapor-Liquid Equilibrium Data Set 1951	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H14	86.177	110-54-3	Hexane	
2	C6H6	78.114	71-43-2	Benzene	
3	C8H10	106.167	106-42-3	p-Xylene	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
351.05	0.48300	0.25600	0.68500	0.27000	
354.35	0.43400	0.22000	0.68100	0.25000	
361.85	0.32600	0.17000	0.64900	0.23000	
353.95	0.24400	0.50100	0.41500	0.53300	
353.75	0.18400	0.60000	0.33100	0.63000	
353.45	0.13700	0.69400	0.25500	0.71500	
353.05	0.16400	0.65700	0.29600	0.67200	
353.05	0.15100	0.68100	0.27500	0.69600	
360.65	0.11200	0.52900	0.25100	0.66500	
367.55	0.08500	0.41900	0.22500	0.63100	
372.85	0.07400	0.33000	0.22100	0.57200	
355.95	0.26300	0.40400	0.48300	0.44900	
361.85	0.21000	0.33400	0.44800	0.43400	
366.05	0.17800	0.28800	0.42600	0.42100	
362.85	0.20300	0.32100	0.44700	0.42700	
368.85	0.16000	0.26500	0.41000	0.41300	
372.25	0.13700	0.23500	0.38600	0.40200	
365.85	0.23400	0.19800	0.55100	0.29600	
381.65	0.12300	0.11000	0.41300	0.23500	
376.55	0.19800	0.06800	0.57500	0.13000	
369.65	0.28500	0.06000	0.69100	0.10000	
361.75	0.41300	0.04800	0.79200	0.06800	
349.85	0.34400	0.51000	0.50600	0.47000	
349.35	0.24900	0.63900	0.39600	0.58700	
343.25	0.86200	0.09000	0.90400	0.09000	
343.85	0.82100	0.11200	0.88000	0.11100	
344.55	0.77700	0.13400	0.85500	0.13200	
344.95	0.75300	0.14600	0.84200	0.14400	
344.85	0.76200	0.14200	0.84500	0.14000	
347.15	0.70400	0.12800	0.84000	0.13300	
347.15	0.65400	0.18300	0.79100	0.18400	
347.15	0.64700	0.19000	0.78300	0.19200	
347.55	0.62400	0.19900	0.77000	0.20200	
349.25	0.58400	0.18700	0.76200	0.19700	
348.95	0.47100	0.33900	0.63500	0.33600	
348.35	0.52700	0.29300	0.68100	0.29100	
350.85	0.48200	0.26400	0.67800	0.27700	
352.95	0.44900	0.24300	0.67400	0.26700	
Source	
Michishita T.; Arai Y.; Saito S.: Vapor-Liquid Equilibria of Hydrocarbons at Atmospheric Pressure. Kagaku Kogaku 35 (1971) 111	
Source	
