$$$Vapor-Liquid Equilibrium Data Set 33219
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C8H10	106.167	108-38-3	m-Xylene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
412.20	0.000000.00000
401.70	0.06300	0.29500
396.40	0.09500	0.41300
388.30	0.14800	0.56600
375.80	0.24900	0.74400
371.20	0.29600	0.79800
366.30	0.35200	0.84600
355.30	0.55700	0.93200
351.10	0.67300	0.95200
348.90	0.74000	0.96300
346.90	0.81200	0.97400
344.50	0.90000	0.98300
341.50	1.000001.00000
Source
Gupta B.S.; Lee M.-J.: Isobaric VaporLiquid Equilibrium of Binary Systems of Hexane or Octane with 1,2-Dimethylbenzene or 1,3-Dimethylbenzene at 101.3 kPa. J.Chem.Eng.Data 57 (2012) 1237-1243
Source
Gupta B.S.; Lee M.-J.: Isobaric VaporLiquid Equilibrium of Binary Systems of Hexane or Octane with 1,2-Dimethylbenzene or 1,3-Dimethylbenzene at 101.3 kPa. J.Chem.Eng.Data 57 (2012) 1237-1243
