$$$Vapor-Liquid Equilibrium Data Set 14419	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C3H8O	60.096	67-63-0	2-Propanol	
3	C2H3N	41.053	75-05-8	Acetonitrile	
4	C6H6	78.114	71-43-2	Benzene	
Temperature	328.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
68.208	0.09600	0.13400	0.18200	0.22900	0.11500	0.17100	
70.141	0.17200	0.21800	0.15500	0.27300	0.14000	0.14700	
70.741	0.23100	0.26200	0.12000	0.32000	0.14300	0.12100	
59.942	0.05100	0.28000	0.43400	0.08100	0.23700	0.37800	
60.915	0.09600	0.16000	0.60200	0.17900	0.14100	0.45100	
68.181	0.16500	0.24800	0.22600	0.25600	0.15300	0.20600	
56.342	0.05100	0.28300	0.54200	0.08800	0.24500	0.47500	
68.301	0.14400	0.24500	0.22700	0.22900	0.15900	0.20800	
80.420	0.38700	0.12700	0.11600	0.46800	0.05500	0.09900	
60.768	0.12800	0.13600	0.63400	0.23800	0.11900	0.47700	
72.541	0.49500	0.27200	0.06600	0.51300	0.11400	0.08100	
69.048	0.24600	0.26500	0.25300	0.31600	0.14700	0.23100	
69.368	0.13500	0.18300	0.17900	0.25700	0.12900	0.16600	
71.861	0.17600	0.17400	0.19000	0.30000	0.11200	0.16500	
68.181	0.16400	0.25400	0.22600	0.25400	0.15400	0.20600	
71.901	0.25500	0.22200	0.21700	0.34200	0.11800	0.19000	
61.955	0.08500	0.39800	0.13500	0.13400	0.25700	0.15800	
67.381	0.11400	0.13000	0.38700	0.22900	0.10400	0.30000	
78.927	0.36600	0.14100	0.14200	0.44800	0.06400	0.12100	
71.501	0.25500	0.22900	0.20800	0.34000	0.12200	0.18400	
71.194	0.24500	0.23600	0.20700	0.33200	0.12600	0.18700	
Source	
Nagata I.; Fukushima Y.; Miyazaki K.: Vapour-liquid equilibrium in the quaternary system methanol-2-propanol-acetonitrile-benzene at 55°C. Fluid Phase Equilib. 71 (1992) 17-27	
Source	
