$$$Vapor-Liquid Equilibrium Data Set 2629
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C6H6	78.114	71-43-2	Benzene
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	311.65	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
49.463	0.10000	0.20000	0.50000	0.12800
47.996	0.10000	0.40000	0.46900	0.23300
46.929	0.10000	0.50000	0.45700	0.29300
44.530	0.10000	0.70000	0.45200	0.39400
51.596	0.20000	0.20000	0.52600	0.12600
50.263	0.20000	0.40000	0.50500	0.23100
47.996	0.20000	0.60000	0.50200	0.34000
52.529	0.40000	0.20000	0.53500	0.14400
49.996	0.40000	0.40000	0.51900	0.28100
52.262	0.60000	0.20000	0.54100	0.18900
Source
Morachevskii A.G.; Komarova E.G.: Untersuchung des Dampf-Flüssig-Gleichgewichtes im System Benzol - Cyclohexan -Methanol. Vestn.Leningr.Univ. 12 (1957) 118-126
$$$Vapor-Liquid Equilibrium Data Set 2633
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C6H6	78.114	71-43-2	Benzene
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	328.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
95.459	0.10000	0.20000	0.52600	0.11800
91.192	0.10000	0.40000	0.48900	0.22400
89.993	0.10000	0.50000	0.47900	0.28000
85.060	0.10000	0.70000	0.47500	0.38000
100.392	0.20000	0.20000	0.55500	0.11800
97.325	0.20000	0.40000	0.54400	0.21300
92.659	0.20000	0.60000	0.52000	0.32800
101.725	0.40000	0.20000	0.55300	0.13900
97.325	0.40000	0.40000	0.55700	0.25900
Source
Morachevskii A.G.; Komarova E.G.: Untersuchung des Dampf-Flüssig-Gleichgewichtes im System Benzol - Cyclohexan -Methanol. Vestn.Leningr.Univ. 12 (1957) 118-126
$$$Vapor-Liquid Equilibrium Data Set 13313
No.	Formula	Molar Mass	CAS Registry Number	Name
