$$$Vapor-Liquid Equilibrium Data Set 2257	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	y1 [mol/mol]	
353.90	0.00000	0.00000	
330.20	0.03700	0.56400	
327.60	0.18600	0.59000	
327.48	0.30000	0.59400	
327.47	0.38200	0.59500	
327.46	0.48500	0.59700	
327.43	0.59000	0.60400	
327.57	0.81100	0.63900	
329.08	0.91400	0.70600	
332.81	0.97200	0.81900	
337.80	1.00000	1.00000	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Liquid-Vapor Equilibrium in the System Methanol-Cyclohexane at 35, 45 and 55°C and 760 mm Hg. J.Appl.Chem.USSR 38 (1965) 1582-1584	
$$$Vapor-Liquid Equilibrium Data Set 2258	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	308.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
19.625	0.00000	0.00000	
43.330	0.09400	0.56800	
44.396	0.80000	0.58600	
42.570	0.90400	0.62700	
36.784	0.96200	0.75200	
27.198	1.00000	1.00000	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Liquid-Vapor Equilibrium in the System Methanol-Cyclohexane at 35, 45 and 55°C and 760 mm Hg. J.Appl.Chem.USSR 38 (1965) 1582-1584	
$$$Vapor-Liquid Equilibrium Data Set 2259	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
29.464	0.00000	0.00000	
66.101	0.07300	0.55500	
69.234	0.20700	0.59000	
69.154	0.68000	0.59800	
68.034	0.80300	0.61300	
64.888	0.90300	0.65800	
56.329	0.96500	0.77200	
43.463	1.00000	1.00000	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Liquid-Vapor Equilibrium in the System Methanol-Cyclohexane at 35, 45 and 55°C and 760 mm Hg. J.Appl.Chem.USSR 38 (1965) 1582-1584	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Liquid-Vapor Equilibrium in the System Methanol-Cyclohexane at 35, 45 and 55°C and 760 mm Hg. J.Appl.Chem.USSR 38 (1965) 1582-1584	
