$$$Vapor-Liquid Equilibrium Data Set 11440
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C2H6O	46.069	64-17-5	Ethanol
3	C6H6	78.114	71-43-2	Benzene
Temperature	298.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
18.918	0.08900	0.22900	0.17600	0.20200
22.531	0.26900	0.06500	0.43900	0.04500
23.905	0.46400	0.07300	0.48700	0.04000
22.878	0.68200	0.08900	0.56900	0.03200
22.411	0.54400	0.13600	0.49900	0.05900
22.105	0.32600	0.14300	0.39800	0.08500
19.945	0.10600	0.13100	0.26700	0.13700
19.425	0.13200	0.35100	0.18900	0.22100
21.012	0.26700	0.26900	0.31900	0.15100
19.705	0.30300	0.33700	0.32900	0.15900
20.745	0.35900	0.33300	0.36500	0.14800
18.065	0.53300	0.36500	0.52700	0.16300
17.465	0.64800	0.29100	0.64500	0.13100
15.372	0.46000	0.47500	0.51600	0.24700
15.132	0.33500	0.57300	0.38200	0.29900
17.959	0.28300	0.48700	0.29700	0.23700
17.039	0.14100	0.55500	0.16500	0.28800
17.079	0.07700	0.47500	0.10100	0.28900
15.279	0.07300	0.69900	0.08900	0.38500
13.346	0.24500	0.69500	0.32300	0.42200
11.412	0.06300	0.87400	0.09600	0.61900
21.572	0.40400	0.21600	0.41600	0.09600
18.465	0.18900	0.46600	0.21900	0.23500
20.012	0.19100	0.23400	0.28600	0.14900
12.772	0.000000.000000.000000.00000
16.692	1.00000	0.000001.00000	0.00000
7.973	0.00000	1.000000.00000	1.00000
Source
Nagata I.: Isothermal Vapor-Liduid Equilibrea for the Ternary Methanol-Ethanol-Benzene system. J.Chem.Eng.Data 30 (1985) 201-203
Source
