$$$Vapor-Liquid Equilibrium Data Set 3157
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C2H6O	46.069	64-17-5	Ethanol
3	C4H8O2	88.106	141-78-6	Ethyl acetate
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
338.35	0.60000	0.20000	0.64760	0.11340
341.15	0.40000	0.40000	0.46360	0.26940
339.85	0.40000	0.20000	0.49010	0.12530
345.15	0.20000	0.60000	0.23720	0.48730
346.25	0.20000	0.40000	0.24450	0.33560
341.95	0.20000	0.20000	0.30690	0.18120
Source
Nishi Y.: Vapor-Liquid Equilibria Accompanied by Hypothetical Chemical Reaction. J.Chem.Eng.Japan 5 (1972) 334-339
Source
