$$$Vapor-Liquid Equilibrium Data Set 25583
No.	Formula	Molar Mass	CAS Registry Number	Name
1	ClK	74.551	7447-40-7	Potassium chloride
2	H2O	18.015	7732-18-5	Water
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]
101.008	373.15	0.002435	4.59130024042E-20
143.178	383.15	0.002435	1.98150004213E-19
198.094	393.15	0.002435	8.69930030393E-19
269.683	403.15	0.002435	4.34959979734E-18
360.885	413.15	0.002435	1.90900000857E-17
475.622	423.15	0.002435	8.45759949379E-17
617.819	433.15	0.002435	3.38309988391E-16
791.396	443.15	0.002435	1.28069994608E-15
1000.278	453.15	0.002435	4.59129973894E-15
1255.251	463.15	0.002435	1.59489985102E-14
1549.446	473.15	0.002435	5.55789951822E-14
1902.484	483.15	0.002435	1.64320000749E-13
2314.370	493.15	0.002435	5.0746001368E-13
2794.890	503.15	0.002435	1.42569994439E-12
3344.072	513.15	0.002435	4.59129956276E-12
3971.687	523.15	0.002435	1.18410004024E-11
4687.574	533.15	0.002435	3.62469984583E-11
5481.923	543.15	0.002435	8.94090010362E-11
6403.740	553.15	0.002435	2.41650005561E-10
7600.148	563.15	0.002435	6.76609990258E-10
8492.555	573.15	0.002435	1.71569991547E-9
9806.647	583.15	0.002435	5.07459985144E-9
11228.610	593.15	0.002435	1.32910003003E-8
12797.681	603.15	0.002435	4.10799998463E-8
14523.606	613.15	0.002435	1.30489993921E-7
16396.651	623.15	0.002435	5.07460015342E-7
18397.287	633.15	0.002435	2.41650013777E-6
20593.906	643.15	0.002435	2.41660000029E-5
23016.240	653.15	0.002435	0.000411329994677
24536.249	659.15	0.0024350.002435
Source
Khaibullin I.K.; Borisov N.M.: Experimental Investigation of the Thermal Properties of Aqueous and Vapor Solutions of Sodium and Potassium Chlorides at Phase Equilibrium. High Temp. 4 (1966) 489-494
$$$Vapor-Liquid Equilibrium Data Set 25584
No.	Formula	Molar Mass	CAS Registry Number	Name
1	ClK	74.551	7447-40-7	Potassium chloride
2	H2O	18.015	7732-18-5	Water
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]
98.066	373.15	0.01256	1.52239993876E-19
137.293	383.15	0.01256	7.24940003167E-19
198.094	393.15	0.01256	4.10799977916E-18
265.761	403.15	0.01256	2.15069986745E-17
351.078	413.15	0.01256	1.11159998256E-16
468.757	423.15	0.01256	5.07459979799E-16
612.915	433.15	0.01256	2.41649987171E-15
784.531	443.15	0.01256	8.45759941438E-15
990.472	453.15	0.01256	3.62469995967E-14
1245.444	463.15	0.01256	1.13570001385E-13
1529.834	473.15	0.01256	3.62469982414E-13
1882.872	483.15	0.01256	1.13569993253E-12
2294.758	493.15	0.01256	3.38309978989E-12
2775.279	503.15	0.01256	9.42419926819E-12
3324.460	513.15	0.01256	2.65809995542E-11
3961.887	523.15	0.01256	7.24939969166E-11
4648.351	533.15	0.01256	2.00569991171E-10
5452.498	543.15	0.01256	5.31619970268E-10
6305.668	553.15	0.01256	1.37739997186E-9
7276.535	563.15	0.01256	3.38310002235E-9
8384.684	573.15	0.01256	8.94089957626E-9
9620.316	583.15	0.01256	2.41650006672E-8
11012.868	593.15	0.01256	6.76609985817E-8
12532.889	603.15	0.01256	1.47400001538E-7
14170.568	613.15	0.01256	4.83290023112E-7
15867.095	623.15	0.01256	2.00570002562E-6
17700.944	633.15	0.01256	1.11159997687E-5
19770.241	643.15	0.01256	4.35019974248E-5
22064.985	653.15	0.01256	0.000164400000358
24536.249	663.15	0.01256	0.000605260021985
27262.425	673.15	0.01256	0.00174940004945
29959.269	683.15	0.01256	0.006535
32361.872	691.65	0.012560.01256
Source
Khaibullin I.K.; Borisov N.M.: Experimental Investigation of the Thermal Properties of Aqueous and Vapor Solutions of Sodium and Potassium Chlorides at Phase Equilibrium. High Temp. 4 (1966) 489-494
$$$Vapor-Liquid Equilibrium Data Set 25585
No.	Formula	Molar Mass	CAS Registry Number	Name
1	ClK	74.551	7447-40-7	Potassium chloride
2	H2O	18.015	7732-18-5	Water
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]
97.086	373.15	0.02615	2.41650010911E-19
142.196	383.15	0.02615	1.25659995043E-18
195.152	393.15	0.02615	7.49099973966E-18
267.722	403.15	0.02615	3.62469981938E-17
355.000	413.15	0.02615	1.66739997384E-16
467.778	423.15	0.02615	8.45759962614E-16
606.050	433.15	0.02615	3.62470004437E-15
774.726	443.15	0.02615	1.52239992937E-14
980.665	453.15	0.02615	6.04119957726E-14
1225.831	463.15	0.02615	1.95730001759E-13
1520.035	473.15	0.02615	6.76609972477E-13
1853.461	483.15	0.02615	2.05399998225E-12
2265.334	493.15	0.02615	6.52449969052E-12
2716.443	503.15	0.02615	2.12650001774E-11
3285.223	513.15	0.02615	5.79950011625E-11
3912.852	523.15	0.02615	1.71569994323E-10
4609.128	533.15	0.02615	4.83290019115E-10
