$$$Vapor-Liquid Equilibrium Data Set 36204	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C4H10O	74.123	71-36-3	1-Butanol	
3	C8H10	106.167	106-42-3	p-Xylene	
Pressure	101.30	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
368.02	0.31200	0.67600	0.73700	0.24500	
369.39	0.26400	0.72400	0.70400	0.27900	
369.92	0.25300	0.73500	0.70800	0.27600	
371.26	0.23100	0.76100	0.68400	0.30300	
373.42	0.18400	0.80900	0.66700	0.32200	
375.18	0.15200	0.84300	0.61200	0.37900	
377.07	0.12600	0.86900	0.56000	0.43300	
379.28	0.10000	0.89500	0.54400	0.45000	
379.73	0.10900	0.88700	0.47600	0.51800	
378.00	0.10900	0.87400	0.52400	0.45300	
375.83	0.13400	0.83400	0.59700	0.36600	
372.21	0.17800	0.77700	0.65200	0.30100	
370.44	0.20400	0.73800	0.65900	0.28500	
368.14	0.25300	0.67500	0.69300	0.23700	
366.56	0.28600	0.62900	0.70700	0.21300	
365.23	0.31600	0.58700	0.70300	0.20400	
365.05	0.41800	0.54100	0.72600	0.21700	
365.13	0.44300	0.52700	0.73300	0.22000	
365.43	0.42000	0.55200	0.73400	0.22300	
365.86	0.39600	0.57800	0.73500	0.22900	
366.09	0.38100	0.59300	0.73600	0.22700	
366.40	0.35700	0.62000	0.73700	0.22900	
365.75	0.24200	0.60400	0.69500	0.19200	
364.71	0.27400	0.55700	0.68700	0.18800	
367.16	0.23000	0.62700	0.68500	0.21400	
369.18	0.19500	0.68100	0.64900	0.25600	
371.49	0.17200	0.72400	0.62700	0.28700	
373.95	0.13800	0.77700	0.60400	0.32100	
376.87	0.10600	0.82600	0.52000	0.41300	
378.99	0.09200	0.85700	0.43500	0.51100	
380.55	0.08300	0.89300	0.39900	0.57000	
384.65	0.04800	0.94400	0.26700	0.72000	
384.04	0.04800	0.92100	0.28300	0.67700	
383.20	0.04700	0.89100	0.29500	0.63600	
382.13	0.05700	0.84800	0.29900	0.60500	
381.41	0.05300	0.80600	0.31800	0.55500	
381.95	0.04300	0.78300	0.30100	0.55300	
382.20	0.03900	0.75200	0.27600	0.55700	
382.91	0.03700	0.71500	0.26100	0.55500	
382.49	0.03300	0.67400	0.25500	0.54400	
379.96	0.04300	0.62300	0.35900	0.44500	
378.12	0.05400	0.57300	0.43600	0.37300	
376.45	0.05600	0.52600	0.46800	0.33900	
375.26	0.05900	0.48700	0.49600	0.31200	
374.66	0.05500	0.44600	0.54800	0.27200	
373.80	0.06000	0.40600	0.57400	0.24800	
372.87	0.06300	0.36200	0.58500	0.23500	
371.08	0.05800	0.33100	0.61800	0.20500	
368.21	0.14000	0.52000	0.65500	0.20200	
369.19	0.13300	0.54900	0.64100	0.21700	
371.55	0.10700	0.60100	0.59700	0.26000	
373.58	0.09700	0.66600	0.54500	0.31400	
376.41	0.08200	0.71600	0.46500	0.39500	
377.94	0.08100	0.75000	0.44800	0.42300	
Source	
Gomis V.; Font A.; Saquete M.D.; Garcia-Cano J.: Isothermal (liquid + liquid) equilibrium data at T = 313.15 K and isobaric (vapor + liquid + liquid) equilibrium data at 101.3 kPa for the ternary system (water + 1-butanol + p-xylene). J.Chem.Thermodyn. 79 (2014) 242-247	
Source	
