$$$Vapor-Liquid Equilibrium Data Set 10440
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C3H8O	60.096	67-63-0	2-Propanol
3	C6H14	86.177	110-54-3	Hexane
Pressure	101.33	kPa
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
0.58900	0.10300	0.03700	0.21700
0.19200	0.20000	0.04300	0.20500
0.06700	0.38200	0.03000	0.20000
0.04100	0.84800	0.06700	0.44800
0.02300	0.93700	0.03600	0.94600
0.01600	0.75600	0.22500	0.14000
0.21600	0.76900	0.22600	0.60800
0.35600	0.21400	0.22700	0.20600
0.57200	0.27000	0.22500	0.34500
0.28400	0.33600	0.22000	0.06500
Source
Mamedova V.M.; Kurpyakova Z.N.; Ovanesova G.S.: Untersuchung des Dampf-Flüssig-Gleichgewichtes im System Isopropanol-n.Hexan-Wasser. Azerb.Neft.Khoz.  (1970) 40-41
Source
