$$$Vapor-Liquid Equilibrium Data Set 2025
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H4O2	60.053	64-19-7	Acetic acid
3	C2H4O2	60.053	64-19-7	Acetic acid butyl ester
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
371.05	0.44660	0.37560	0.67130	0.13690
371.65	0.20600	0.30250	0.68420	0.06570
369.75	0.70720	0.23570	0.72940	0.08250
369.25	0.63020	0.22920	0.69970	0.07690
367.25	0.50900	0.15180	0.70110	0.04550
367.95	0.86120	0.12220	0.72250	0.05080
368.35	0.88000	0.10280	0.70160	0.06070
366.85	0.87480	0.06870	0.70060	0.04130
367.55	0.96260	0.03600	0.73260	0.01230
365.75	0.95800	0.03680	0.72350	0.00890
365.45	0.86470	0.04060	0.70660	0.00930
365.95	0.58520	0.09760	0.70720	0.03070
367.75	0.69520	0.21640	0.70910	0.07090
365.75	0.89650	0.06070	0.71320	0.03040
367.45	0.79030	0.17210	0.70790	0.07430
375.45	0.37550	0.50670	0.55330	0.26820
380.55	0.19990	0.68500	0.44030	0.46360
376.65	0.43730	0.52500	0.62530	0.30710
364.85	0.39240	0.12360	0.69500	0.02180
381.35	0.25120	0.71430	0.37740	0.56860
378.15	0.40180	0.57090	0.57400	0.38100
375.65	0.55240	0.42700	0.65850	0.25750
375.55	0.57240	0.40780	0.68040	0.25770
375.05	0.62710	0.35560	0.71700	0.22560
373.95	0.66830	0.31640	0.73360	0.19060
373.75	0.70210	0.28420	0.75250	0.17020
383.15	0.15210	0.76510	0.37610	0.56750
379.95	0.26450	0.66400	0.42300	0.48650
378.05	0.35010	0.58630	0.51870	0.39520
376.75	0.41800	0.52540	0.55540	0.34940
375.65	0.47150	0.47690	0.59110	0.30050
374.95	0.51770	0.43540	0.65400	0.25750
374.25	0.55580	0.40070	0.67120	0.22890
373.85	0.58830	0.37120	0.67690	0.21750
372.45	0.64170	0.32330	0.71020	0.17070
372.05	0.68200	0.28690	0.72220	0.15380
382.35	0.16150	0.70690	0.36180	0.52240
378.95	0.27660	0.61020	0.45480	0.42060
376.55	0.36550	0.53500	0.53560	0.34070
375.05	0.43370	0.47770	0.58120	0.29190
374.05	0.49000	0.43020	0.63580	0.23150
373.35	0.53570	0.39150	0.66810	0.20500
372.45	0.57310	0.35980	0.68470	0.17890
371.95	0.60590	0.33260	0.69040	0.16550
371.35	0.63290	0.30960	0.70620	0.14340
372.15	0.65700	0.28930	0.71310	0.13930
381.05	0.16900	0.64430	0.33160	0.49480
377.05	0.29000	0.55060	0.49050	0.35150
374.15	0.45050	0.42630	0.59520	0.24260
373.15	0.50500	0.38410	0.62760	0.21180
371.55	0.55190	0.34750	0.66660	0.15820
370.95	0.59540	0.31530	0.66500	0.14700
370.25	0.62220	0.29290	0.69560	0.12350
369.95	0.64960	0.27170	0.68660	0.11670
369.35	0.67200	0.25430	0.73270	0.10260
369.05	0.69300	0.23810	0.70370	0.10320
379.35	0.18050	0.57150	0.43980	0.37160
375.25	0.30720	0.48350	0.55300	0.26110
373.05	0.39810	0.41990	0.61890	0.19900
372.05	0.47040	0.36930	0.64550	0.17070
370.75	0.52580	0.33090	0.68110	0.12710
370.15	0.57160	0.29910	0.68980	0.11780
369.05	0.64030	0.25090	0.69090	0.09140
368.55	0.68960	0.21660	0.66840	0.08190
373.35	0.32370	0.41000	0.61360	0.18260
370.05	0.48990	0.30920	0.64970	0.11880
367.85	0.65930	0.20650	0.73780	0.06600
367.35	0.74300	0.15570	0.70530	0.06360
370.95	0.34470	0.32630	0.64130	0.12800
367.45	0.61250	0.19280	0.65790	0.05720
367.05	0.72510	0.13680	0.69440	0.04470
366.55	0.78700	0.10600	0.68930	0.03860
368.35	0.36580	0.23180	0.66020	0.06740
366.75	0.53650	0.16910	0.64550	0.04760
385.65	0.06940	0.83360	0.23850	0.69590
383.25	0.10640	0.74500	0.29840	0.59010
380.65	0.14180	0.65460	0.32840	0.50100
378.75	0.17900	0.55950	0.41630	0.38020
375.45	0.22130	0.45790	0.51720	0.24780
372.15	0.26560	0.35160	0.59010	0.15650
368.65	0.30900	0.24090	0.65070	0.08620
386.95	0.03400	0.91850	0.12320	0.84000
387.45	0.01680	0.96240	0.06190	0.91640
387.45	0.02670	0.95150	0.09210	0.88920
384.15	0.10730	0.80520	0.28640	0.64970
381.05	0.15860	0.70890	0.34360	0.54980
378.55	0.21330	0.60970	0.41180	0.43160
374.75	0.26840	0.50970	0.50910	0.30060
372.25	0.32380	0.40910	0.58450	0.19840
368.65	0.37960	0.30790	0.63290	0.11630
387.35	0.02670	0.95150	0.06820	0.90870
391.85	0.08990	0.88170	0.14590	0.81800
386.85	0.12700	0.82870	0.19730	0.75050
378.65	0.26870	0.63060	0.44990	0.44800
366.45	0.58020	0.19270	0.67710	0.07150
387.25	0.05230	0.92950	0.09820	0.88060
385.55	0.08080	0.89060	0.14260	0.82520
382.15	0.17280	0.75900	0.29010	0.63110
379.15	0.25880	0.63960	0.44800	0.45020
376.75	0.33690	0.53200	0.52900	0.32820
372.75	0.40850	0.43170	0.62280	0.20570
370.35	0.47650	0.33650	0.65600	0.13660
367.35	0.54520	0.24130	0.68350	0.08220
367.35	0.54520	0.24130	0.68620	0.08570
380.35	0.23720	0.70300	0.39700	0.53690
375.45	0.36960	0.53800	0.54660	0.33390
372.45	0.45810	0.42810	0.61690	0.22930
372.45	0.53680	0.32960	0.68840	0.17090
366.45	0.66250	0.17260	0.70190	0.07330
367.95	0.59940	0.25180	0.70650	0.09530
383.95	0.09850	0.87730	0.18980	0.78580
383.15	0.15460	0.80710	0.26710	0.69060
378.15	0.29320	0.63410	0.47960	0.44140
387.85	0.03280	0.95960	0.05820	0.93080
386.95	0.05840	0.92550	0.10970	0.87180
385.25	0.09850	0.87730	0.17490	0.79610
387.85	0.03590	0.95960	0.04570	0.94220
385.85	0.09140	0.89830	0.13810	0.84340
383.15	0.15710	0.82510	0.21440	0.75190
375.35	0.44200	0.50850	0.58840	0.32780
380.95	0.24730	0.72500	0.38790	0.57750
372.15	0.55680	0.38100	0.67180	0.20350
367.75	0.69050	0.23250	0.70230	0.09490
365.75	0.79350	0.11850	0.71000	0.04740
387.95	0.03590	0.95960	0.06430	0.92520
385.75	0.09140	0.89830	0.17250	0.81320
383.75	0.15710	0.82510	0.20990	0.75340
381.55	0.24730	0.72500	0.39410	0.56940
383.35	0.15710	0.82510	0.19540	0.76310
382.45	0.19460	0.78300	0.33060	0.64280
378.75	0.34010	0.62200	0.49750	0.44650
383.35	0.15710	0.82510	0.23890	0.72810
387.35	0.03590	0.95960	0.07060	0.91650
385.55	0.09140	0.89830	0.17540	0.80900
383.95	0.15710	0.82510	0.20760	0.75470
365.85	0.51580	0.17610	0.71710	0.05340
365.55	0.72040	0.11550	0.71920	0.03970
366.55	0.89680	0.06910	0.74880	0.03390
Source
Hirata M.; Hirose Y.: Vapor-Liquid Equilibria of Ternary System Water-Acetic Acid-n-Butyl Acetate. Chem.Eng.Japan abridg.Ed. 4 (1966) 238-241
$$$Vapor-Liquid Equilibrium Data Set 33663
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	H2O	18.015	7732-18-5	Water
3	H2O	18.015	7732-18-5	Acetic acid butyl ester
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
384.55	0.72150	0.09790	0.62130	0.23110
380.85	0.66220	0.17540	0.46560	0.41470
376.05	0.54150	0.32710	0.31220	0.57100
374.45	0.47840	0.42080	0.24760	0.65730
376.95	0.56900	0.35240	0.36250	0.54080
378.25	0.60820	0.31870	0.42280	0.49240
378.65	0.62480	0.28500	0.43950	0.46380
379.45	0.64680	0.24710	0.46330	0.43050
380.25	0.65900	0.20420	0.48440	0.38960
381.75	0.67200	0.16040	0.52460	0.33200
382.35	0.65630	0.13240	0.51890	0.31200
383.05	0.63210	0.11540	0.50300	0.30170
384.15	0.60510	0.09410	0.50430	0.26800
385.65	0.57170	0.07660	0.49620	0.23580
Source
Xue L.; Zhang C.; Wan H.; Guan G.: Measurement and Correlation of Isobaric Vapor-Liquid Equilibrium Data for Acetic Acid-Water-n-Butyl Acetate Systems. Nanjing-Huagong-Daxue-xuebao / Ziran-kexue-ban 34 (2012) 114-117
$$$Vapor-Liquid Equilibrium Data Set 37267
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H4O2	60.053	64-19-7	Acetic acid
3	C2H4O2	60.053	64-19-7	Acetic acid butyl ester
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
383.87	0.08940	0.85450	0.12770	0.81320
381.10	0.17350	0.76120	0.21730	0.69270
378.80	0.24800	0.64620	0.29750	0.56860
377.46	0.33840	0.56660	0.40780	0.44430
376.60	0.42560	0.49240	0.49520	0.38850
383.13	0.12390	0.75520	0.17290	0.70070
380.47	0.18290	0.70750	0.28360	0.52510
378.10	0.26270	0.58340	0.36180	0.40890
376.70	0.37130	0.47800	0.43510	0.31450
375.20	0.46330	0.35320	0.48840	0.19260
382.35	0.10390	0.70620	0.18670	0.60280
379.31	0.20070	0.63130	0.28330	0.47960
376.64	0.26850	0.55030	0.38690	0.31030
375.55	0.34890	0.41580	0.45420	0.21910
374.17	0.41090	0.34690	0.50980	0.20350
382.29	0.09540	0.64510	0.17290	0.57840
378.80	0.17830	0.57310	0.30780	0.35840
376.36	0.26540	0.46330	0.38620	0.21340
382.98	0.10580	0.55300	0.17470	0.51430
378.35	0.22610	0.45840	0.30550	0.30340
375.80	0.33760	0.26740	0.36630	0.18230
379.90	0.13900	0.44480	0.24270	0.34890
Source
Xin H.; Li Q.-S.: Vapor-Liquid Equilibrium for Water-Acetic Acid-n-Butyl Acetate System. Huaxue-gongcheng 41 (2013) 46-50
Source
