$$$Vapor-Liquid Equilibrium Data Set 15531
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H4O2	60.053	64-19-7	Acetic acid
3	C6H14	86.177	110-54-3	Hexane
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
341.25	7.29000021238E-5	0.05280	0.00012	0.06010
341.25	0.000129	0.07650	0.000204	0.07840
341.25	0.000107	0.08230	0.000183	0.08320
341.25	0.000197	0.12400	0.000396	0.11100
341.45	0.00017	0.17800	0.00039	0.14100
341.45	0.000212	0.21100	0.000496	0.15600
342.15	0.00029	0.35100	0.000699	0.20200
342.65	0.000422	0.46700	0.00097	0.22600
343.35	0.000381	0.57100	0.000814	0.24500
344.15	0.000573	0.67400	0.00105	0.26000
345.45	0.000466	0.77700	0.00078	0.28100
346.95	0.000481	0.83700	0.000796	0.30600
348.35	0.000498	0.87800	0.00081	0.33100
354.05	0.000474	0.93400	0.000845	0.44300
369.15	0.000547	0.97700	0.00121	0.72300
Source
Ikari A.; Hatate Y.; Hosoda K.; Kawabata Y.: Vapor-Liquid Equilibria of Hexane-Acetic Acid System and Hexane-Ethanol System Containing a Minute Amount of Water. Kagaku Kogaku Ronbunshu 17 (1991) 890-894
Source
