$$$Vapor-Liquid Equilibrium Data Set 2283	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C3H6O	58.080	67-64-1	Acetone	
3	CHCl3	119.377	67-66-3	Chloroform	
Pressure	101.33	kPa	
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
0.07724	0.91157	0.05311	0.94123	
0.16449	0.81201	0.09234	0.89001	
0.05883	0.88936	0.03898	0.92817	
0.16411	0.79895	0.10202	0.86998	
0.34960	0.63532	0.14264	0.83807	
0.12689	0.80511	0.07736	0.87204	
0.24506	0.70462	0.12165	0.82938	
0.22534	0.71458	0.12766	0.82112	
0.35113	0.61891	0.16162	0.80044	
0.34991	0.61809	0.15665	0.80288	
0.34906	0.60454	0.13789	0.79825	
0.48693	0.49169	0.17881	0.77576	
0.54135	0.43553	0.19504	0.74291	
0.55892	0.41023	0.16062	0.73755	
0.56314	0.39164	0.16355	0.69589	
0.56279	0.39023	0.20350	0.66144	
0.60815	0.36145	0.18317	0.69992	
0.64040	0.33812	0.19187	0.70558	
0.68677	0.30463	0.17181	0.76151	
0.58747	0.35933	0.20745	0.63648	
0.72675	0.25354	0.22997	0.62828	
0.76142	0.22599	0.18520	0.66902	
0.75956	0.22733	0.20978	0.65187	
0.77605	0.21519	0.20386	0.67401	
0.78237	0.21741	0.22240	0.76249	
0.87941	0.11925	0.23322	0.65979	
0.14712	0.76406	0.08252	0.84076	
0.11057	0.77968	0.09170	0.83317	
0.24926	0.67328	0.14512	0.78012	
0.13609	0.74666	0.10516	0.80753	
0.27137	0.64098	0.15647	0.75001	
0.27091	0.62439	0.15318	0.73613	
0.29050	0.60452	0.16098	0.71554	
0.18749	0.67050	0.11920	0.74919	
0.16152	0.69117	0.12769	0.74855	
0.10565	0.73753	0.10122	0.78826	
0.37502	0.51675	0.22549	0.62766	
0.30766	0.56068	0.17810	0.66517	
0.07521	0.71759	0.07165	0.77585	
0.26817	0.56558	0.15481	0.65718	
0.06999	0.68880	0.09020	0.73770	
0.22211	0.57569	0.17400	0.61588	
0.18165	0.60006	0.16225	0.64236	
0.19871	0.57579	0.16626	0.61005	
0.19182	0.54592	0.15513	0.57873	
0.10680	0.56333	0.14660	0.57096	
0.018012	0.15275	0.16678	0.09014	
0.022747	0.23819	0.16504	0.15842	
0.037274	0.32051	0.16548	0.24312	
0.05887	0.40793	0.16229	0.35388	
0.08644	0.46720	0.16204	0.42601	
0.09727	0.48696	0.16295	0.44982	
0.11886	0.50310	0.16265	0.48319	
0.12576	0.50724	0.16223	0.48698	
0.14256	0.51436	0.16006	0.50653	
0.14566	0.51721	0.16268	0.51211	
0.15814	0.52377	0.16105	0.52648	
0.17631	0.52920	0.16180	0.54744	
0.19947	0.53178	0.16352	0.55924	
0.21567	0.53420	0.16509	0.57156	
0.24842	0.53636	0.16265	0.59182	
0.26515	0.53473	0.16410	0.60417	
0.26729	0.53546	0.16419	0.60339	
0.27857	0.53465	0.16665	0.60696	
0.29198	0.53173	0.16839	0.61583	
0.40177	0.48514	0.17378	0.63840	
0.55180	0.38623	0.18299	0.64872	
0.99130	0.007618	0.16678	0.09014	
0.98423	0.01451	0.16504	0.15842	
0.97435	0.02437	0.16548	0.24312	
0.95869	0.03982	0.16229	0.35388	
0.94257	0.05589	0.16204	0.42601	
0.93615	0.06229	0.16295	0.44982	
0.92764	0.07059	0.16265	0.48319	
0.92553	0.07270	0.16223	0.48698	
0.91997	0.07824	0.16006	0.50653	
0.91867	0.07954	0.16268	0.51211	
0.91313	0.08488	0.16105	0.52648	
0.90610	0.09170	0.16180	0.54744	
0.89917	0.09860	0.16352	0.55924	
0.89224	0.10531	0.16509	0.57156	
0.87444	0.12245	0.16265	0.59182	
0.86807	0.12839	0.16410	0.60417	
0.86509	0.13115	0.16419	0.60339	
0.85849	0.13730	0.16665	0.60696	
0.84799	0.14710	0.16839	0.61583	
0.78880	0.19981	0.17378	0.63840	
0.69731	0.27550	0.18299	0.64872	
Source	
Reinders W.; de Minjer C.H.: VI. The System Water-Acetone-Chloroform. Recl.Trav.Chim.Pays-Bas 66 (1947) 573-604	
$$$Vapor-Liquid Equilibrium Data Set 18364	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CHCl3	119.377	67-66-3	Chloroform	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
